frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.01,-0.0012,+0.0018,-0.0422,+0.0018,0.0575,0.5999,0.0575,pid
1,0.00,+0.0050,+0.0024,-0.0469,+0.0024,0.0012,0.6000,0.0012,pid
2,0.06,+0.0022,+0.0012,-0.0391,+0.0012,0.0015,0.5992,0.0015,pid
3,0.04,+0.0026,+0.0025,-0.0437,+0.0025,0.0016,0.5995,0.0016,pid
4,0.03,+0.0030,+0.0014,-0.0375,+0.0014,0.0014,0.5996,0.0014,pid
5,0.00,+0.0031,+0.0018,-0.0359,+0.0018,0.0013,0.6000,0.0013,pid
6,0.00,+0.0031,+0.0026,-0.0406,+0.0026,0.0013,0.6000,0.0013,pid
7,0.00,+0.0039,+0.0028,-0.0453,+0.0028,0.0013,0.6000,0.0013,pid
8,0.00,+0.0041,+0.0024,-0.0437,+0.0024,0.0013,0.6000,0.0013,pid
9,0.00,+0.0040,+0.0030,-0.0469,+0.0030,0.0014,0.6000,0.0014,pid
10,0.00,+0.0045,+0.0026,-0.0453,+0.0026,0.0013,0.6000,0.0013,pid
11,0.00,+0.0039,+0.0005,-0.0266,+0.0005,0.0013,0.6000,0.0013,pid
12,0.00,+0.0022,+0.0042,-0.0437,+0.0042,0.0014,0.6000,0.0014,pid
13,0.00,+0.0048,+0.0023,-0.0391,+0.0023,0.0014,0.6000,0.0014,pid
14,0.00,+0.0039,+0.0030,-0.0406,+0.0030,0.0013,0.6000,0.0013,pid
15,0.00,+0.0043,+0.0026,-0.0375,+0.0026,0.0013,0.6000,0.0013,pid
16,0.00,+0.0035,+0.0035,-0.0422,+0.0035,0.0013,0.6000,0.0013,pid
17,0.00,+0.0045,+0.0026,-0.0375,+0.0026,0.0012,0.6000,0.0012,pid
18,0.00,+0.0036,+0.0032,-0.0391,+0.0032,0.0013,0.6000,0.0013,pid
19,14.89,-0.0049,+0.0024,-0.0328,+0.0024,0.0357,0.4347,0.0357,pid
20,8.04,-0.0016,-0.0050,+0.0328,-0.0050,0.0360,0.5024,0.0360,pid
21,12.38,-0.0082,+0.0002,+0.0328,+0.0002,0.0440,0.4582,0.0440,pid
22,17.00,-0.0055,+0.0001,+0.0328,+0.0001,0.0373,0.4160,0.0373,pid
23,21.34,-0.0065,+0.0000,+0.0328,+0.0000,0.0421,0.3800,0.0421,pid
24,24.63,-0.0023,-0.0000,+0.0328,-0.0000,0.0548,0.3547,0.0548,pid
25,27.73,-0.0018,-0.0001,+0.0328,-0.0001,0.0546,0.3323,0.0546,pid
26,30.37,-0.0011,-0.0002,+0.0328,-0.0002,0.0486,0.3141,0.0486,pid
27,32.24,-0.0016,-0.0002,+0.0328,-0.0002,0.0451,0.3017,0.0451,pid
28,34.43,-0.0007,-0.0152,+0.1547,-0.0152,0.0425,0.2877,0.0425,pid
29,35.98,-0.0091,-0.0095,+0.1859,-0.0095,0.0340,0.2781,0.0340,pid
30,37.59,-0.0048,-0.0135,+0.2359,-0.0135,0.0265,0.2682,0.0265,pid
31,38.91,-0.0082,-0.0107,+0.2422,-0.0107,0.0254,0.2604,0.0254,pid
32,40.14,-0.0070,-0.0285,+0.3875,-0.0285,0.0354,0.2533,0.0354,pid
33,41.15,-0.0168,-0.0058,+0.2906,-0.0058,0.0313,0.2475,0.0313,pid
34,42.19,-0.0047,-0.0136,+0.2906,-0.0136,0.0330,0.2416,0.0330,pid
35,43.05,-0.0093,-0.0136,+0.2906,-0.0136,0.0298,0.2368,0.0298,pid
36,43.77,-0.0081,-0.0144,+0.2969,-0.0144,0.0284,0.2328,0.0284,pid
37,44.56,-0.0106,-0.0107,+0.2703,-0.0107,0.0277,0.2285,0.0277,pid
