frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0008,-0.0016,+0.0391,-0.0016,0.0602,0.6000,0.0602,pid
1,0.00,+0.0026,-0.0021,+0.0422,-0.0021,0.0013,0.6000,0.0013,pid
2,0.05,-0.0009,-0.0016,+0.0391,-0.0016,0.0017,0.5993,0.0017,pid
3,0.04,+0.0004,-0.0019,+0.0391,-0.0019,0.0015,0.5994,0.0015,pid
4,0.02,+0.0004,-0.0031,+0.0484,-0.0031,0.0016,0.5997,0.0016,pid
5,0.01,-0.0003,-0.0013,+0.0391,-0.0013,0.0016,0.5998,0.0016,pid
6,0.00,+0.0012,-0.0031,+0.0469,-0.0031,0.0014,0.6000,0.0014,pid
7,0.00,-0.0004,-0.0018,+0.0406,-0.0018,0.0015,0.6000,0.0015,pid
8,0.00,+0.0007,-0.0024,+0.0406,-0.0024,0.0014,0.6000,0.0014,pid
9,0.00,+0.0002,-0.0015,+0.0328,-0.0015,0.0013,0.6000,0.0013,pid
10,0.00,+0.0008,-0.0028,+0.0375,-0.0028,0.0013,0.6000,0.0013,pid
11,0.00,+0.0002,-0.0036,+0.0469,-0.0036,0.0014,0.6000,0.0014,pid
12,0.00,-0.0005,-0.0024,+0.0422,-0.0024,0.0014,0.6000,0.0014,pid
13,0.00,+0.0003,-0.0028,+0.0422,-0.0028,0.0014,0.6000,0.0014,pid
14,0.00,-0.0001,-0.0031,+0.0437,-0.0031,0.0015,0.6000,0.0015,pid
15,0.00,-0.0002,-0.0021,+0.0359,-0.0021,0.0014,0.6000,0.0014,pid
16,0.00,+0.0009,-0.0030,+0.0375,-0.0030,0.0015,0.6000,0.0015,pid
17,0.00,-0.0006,-0.0030,+0.0375,-0.0030,0.0015,0.6000,0.0015,pid
18,0.00,-0.0000,-0.0038,+0.0437,-0.0038,0.0016,0.6000,0.0016,pid
19,0.00,-0.0013,-0.0034,+0.0437,-0.0034,0.0016,0.6000,0.0016,pid
20,5.83,-0.0034,-0.0035,+0.0437,-0.0035,0.0055,0.5270,0.0055,pid
21,7.76,-0.0057,-0.0036,+0.0437,-0.0036,0.0143,0.5055,0.0143,pid
22,10.62,-0.0070,-0.0036,+0.0437,-0.0036,0.0238,0.4756,0.0238,pid
23,13.15,-0.0079,+0.0071,-0.0453,+0.0071,0.0562,0.4508,0.0562,pid
24,16.02,-0.0030,+0.0001,-0.0453,+0.0001,0.0461,0.4246,0.0461,pid
25,19.04,-0.0081,+0.0002,-0.0453,+0.0002,0.0522,0.3987,0.0522,pid
26,21.82,-0.0078,+0.0041,-0.0766,+0.0041,0.0614,0.3762,0.0614,pid
27,24.76,-0.0014,+0.0017,-0.0766,+0.0017,0.0618,0.3538,0.0618,pid
28,27.25,-0.0003,+0.0046,-0.0984,+0.0046,0.0575,0.3356,0.0575,pid
29,29.77,+0.0008,+0.0049,-0.1141,+0.0049,0.0501,0.3181,0.0501,pid
30,31.61,+0.0012,+0.0066,-0.1359,+0.0066,0.0459,0.3058,0.0459,pid
31,33.29,+0.0031,+0.0097,-0.1734,+0.0097,0.0375,0.2949,0.0375,pid
32,35.29,+0.0042,+0.0163,-0.2500,+0.0163,0.0274,0.2823,0.0274,pid
33,36.87,+0.0083,+0.0168,-0.3000,+0.0168,0.0263,0.2726,0.0263,pid
34,38.44,+0.0072,+0.0321,-0.4531,+0.0321,0.0410,0.2632,0.0410,pid
35,39.50,+0.0170,-0.0397,+0.0422,-0.0397,0.0603,0.2570,0.0603,pid
36,40.26,-0.0282,-0.0001,+0.0422,-0.0001,0.0507,0.2526,0.0507,pid
37,41.06,-0.0019,-0.0002,+0.0422,-0.0002,0.0515,0.2480,0.0515,pid
38,41.69,-0.0025,-0.0687,+0.6031,-0.0687,0.0334,0.2444,0.0334,pid
39,42.44,-0.0245,+0.0052,+0.3547,+0.0052,0.0305,0.2402,0.0305,pid
40,43.13,+0.0017,-0.0289,+0.4656,-0.0289,0.0462,0.2363,0.0462,pid
41,43.82,-0.0186,-0.0135,+0.4062,-0.0135,0.0316,0.2325,0.0316,pid
42,44.27,-0.0099,+0.0022,+0.2359,+0.0022,0.0472,0.2301,0.0472,pid
43,44.86,+0.0004,-0.0039,+0.1734,-0.0039,0.0516,0.2269,0.0516,pid
