frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.01,-0.0030,-0.0015,0.0163,0.3000,0.0082
1,0.02,-0.0005,-0.0010,0.0033,0.4499,0.0057
2,0.01,+0.0023,+0.0007,0.0013,0.5249,0.0035
3,0.01,+0.0037,+0.0022,0.0009,0.5624,0.0022
4,0.01,+0.0046,+0.0034,0.0008,0.5812,0.0015
5,0.00,+0.0053,+0.0044,0.0007,0.5906,0.0011
6,0.00,+0.0059,+0.0051,0.0007,0.5953,0.0009
7,0.00,+0.0065,+0.0058,0.0007,0.5976,0.0008
8,0.00,+0.0065,+0.0062,0.0007,0.5988,0.0007
9,0.00,+0.0069,+0.0065,0.0006,0.5994,0.0007
10,0.00,+0.0070,+0.0068,0.0007,0.5997,0.0007
11,0.00,+0.0072,+0.0070,0.0006,0.5999,0.0007
12,0.00,+0.0070,+0.0070,0.0006,0.5999,0.0007
13,0.00,+0.0072,+0.0071,0.0007,0.6000,0.0007
14,0.00,+0.0072,+0.0071,0.0007,0.6000,0.0007
15,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0007
16,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
17,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
18,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
19,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
20,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
21,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
22,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
23,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
24,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
25,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
26,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
27,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
28,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
29,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0007
30,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
31,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
32,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
33,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
34,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0007
35,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
36,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
37,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
38,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
39,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
40,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
41,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
42,0.00,+0.0072,+0.0073,0.0006,0.6000,0.0006
43,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
44,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0006
45,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
46,0.00,+0.0074,+0.0073,0.0006,0.6000,0.0006
47,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0006
48,0.00,+0.0074,+0.0074,0.0006,0.6000,0.0006
49,0.00,+0.0073,+0.0074,0.0006,0.6000,0.0006
50,0.00,+0.0075,+0.0074,0.0007,0.6000,0.0007
51,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
52,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
53,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
54,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
55,0.00,+0.0073,+0.0074,0.0006,0.6000,0.0007
56,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
57,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
