frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0010,-0.0018,+0.0422,-0.0014,0.0538,0.4800,0.0430,pid
1,0.00,+0.0017,-0.0019,+0.0422,-0.0018,0.0030,0.5760,0.0110,pid
2,0.01,+0.0005,-0.0016,+0.0391,-0.0016,0.0017,0.5950,0.0036,pid
3,0.02,+0.0004,-0.0034,+0.0516,-0.0031,0.0016,0.5988,0.0020,pid
4,0.00,-0.0004,-0.0008,+0.0375,-0.0013,0.0016,0.5998,0.0016,pid
5,0.00,+0.0013,-0.0030,+0.0453,-0.0026,0.0017,0.5999,0.0017,pid
6,0.00,+0.0004,-0.0020,+0.0422,-0.0022,0.0017,0.6000,0.0017,pid
7,0.00,+0.0006,-0.0026,+0.0437,-0.0025,0.0017,0.6000,0.0017,pid
8,0.00,+0.0003,-0.0031,+0.0484,-0.0030,0.0013,0.6000,0.0014,pid
9,0.00,-0.0008,-0.0017,+0.0391,-0.0019,0.0015,0.6000,0.0015,pid
10,0.00,+0.0004,-0.0019,+0.0344,-0.0019,0.0015,0.6000,0.0015,pid
11,11.70,-0.0026,-0.0028,+0.0375,-0.0026,0.0263,0.4918,0.0214,pid
12,9.09,-0.0044,-0.0026,+0.0375,-0.0026,0.0259,0.4914,0.0250,pid
13,11.72,-0.0069,-0.0027,+0.0375,-0.0026,0.0372,0.4700,0.0347,pid
14,15.66,-0.0058,+0.0051,-0.0266,+0.0035,0.0505,0.4362,0.0474,pid
15,18.61,-0.0083,+0.0000,-0.0266,+0.0007,0.0447,0.4090,0.0453,pid
16,22.89,-0.0064,+0.0001,-0.0266,+0.0002,0.0504,0.3761,0.0494,pid
17,26.02,-0.0021,+0.0003,-0.0281,+0.0003,0.0562,0.3508,0.0548,pid
18,28.32,-0.0017,+0.0086,-0.0969,+0.0070,0.0574,0.3327,0.0569,pid
19,30.61,+0.0021,+0.0062,-0.1203,+0.0063,0.0524,0.3165,0.0533,pid
20,32.68,+0.0021,+0.0066,-0.1375,+0.0066,0.0404,0.3024,0.0430,pid
21,34.52,+0.0028,+0.0128,-0.1969,+0.0115,0.0354,0.2902,0.0370,pid
22,36.16,+0.0055,+0.0126,-0.2313,+0.0124,0.0273,0.2796,0.0292,pid
23,37.77,+0.0065,+0.0220,-0.3266,+0.0201,0.0257,0.2697,0.0264,pid
24,39.10,+0.0092,+0.0150,-0.3266,+0.0160,0.0389,0.2614,0.0364,pid
25,40.38,+0.0081,+0.0310,-0.4594,+0.0280,0.0494,0.2538,0.0468,pid
26,41.30,+0.0143,-0.1022,+0.5531,-0.0762,0.0675,0.2480,0.0634,pid
27,41.92,-0.0281,-0.0239,+0.5656,-0.0343,0.0466,0.2441,0.0499,pid
28,42.54,-0.0253,-0.0040,+0.4016,-0.0100,0.0295,0.2405,0.0336,pid
29,43.12,-0.0088,-0.0089,+0.3281,-0.0092,0.0328,0.2372,0.0329,pid
30,43.84,-0.0074,-0.0241,+0.4031,-0.0211,0.0353,0.2334,0.0348,pid
31,44.51,-0.0141,-0.0181,+0.4031,-0.0187,0.0355,0.2297,0.0354,pid
32,45.12,-0.0126,+0.0106,+0.1641,+0.0047,0.0404,0.2263,0.0394,pid
33,45.61,+0.0026,-0.0056,+0.1391,-0.0035,0.0471,0.2235,0.0455,pid
34,45.71,-0.0017,+0.0005,+0.0719,-0.0003,0.0386,0.2225,0.0400,pid
35,46.00,+0.0003,-0.0049,+0.0719,-0.0040,0.0495,0.2211,0.0476,pid
36,46.27,-0.0019,+0.0114,-0.0625,+0.0083,0.0383,0.2197,0.0402,pid
37,46.66,+0.0052,+0.0070,-0.1141,+0.0073,0.0422,0.2177,0.0418,pid
38,46.83,+0.0059,+0.0138,-0.2016,+0.0125,0.0437,0.2167,0.0433,pid
39,46.78,+0.0085,+0.0188,-0.2969,+0.0176,0.0451,0.2166,0.0447,pid
40,47.20,+0.0118,+0.0214,-0.3750,+0.0206,0.0421,0.2148,0.0426,pid
41,47.42,+0.0135,-0.0242,-0.0469,-0.0152,0.0443,0.2136,0.0440,pid
42,47.30,-0.0093,+0.0052,-0.0719,+0.0011,0.0341,0.2138,0.0361,pid
43,47.36,+0.0017,+0.0034,-0.0719,+0.0029,0.0284,0.2136,0.0300,pid
44,47.70,+0.0011,+0.0073,-0.1031,+0.0064,0.0264,0.2122,0.0271,pid
45,47.97,+0.0036,+0.0092,-0.1375,+0.0087,0.0236,0.2108,0.0243,pid
46,48.28,+0.0045,+0.0199,-0.2453,+0.0176,0.0239,0.2092,0.0239,pid
47,48.46,+0.0108,+0.0118,-0.2453,+0.0129,0.0246,0.2081,0.0245,pid
48,48.57,+0.0098,-0.0341,+0.1344,-0.0247,0.0339,0.2074,0.0321,pid
49,45.64,-0.0123,+0.0029,+0.0781,-0.0026,0.0286,0.2197,0.0293,pid
50,49.37,+0.0010,+0.0022,+0.0453,+0.0013,0.0222,0.2065,0.0237,pid
51,45.34,+0.0024,+0.0352,-0.2469,+0.0284,0.0295,0.2207,0.0283,pid
52,40.24,+0.0192,+0.0119,-0.2469,+0.0152,0.0309,0.2463,0.0304,pid
53,45.27,+0.0111,+0.0119,-0.2469,+0.0125,0.0253,0.2290,0.0263,pid
54,44.94,+0.0091,-0.0140,-0.0312,-0.0087,0.0203,0.2270,0.0215,pid
55,45.39,-0.0044,-0.0295,+0.2375,-0.0253,0.0198,0.2246,0.0202,pid
56,45.62,-0.0149,+0.0072,+0.1094,+0.0007,0.0175,0.2232,0.0180,pid
57,46.17,+0.0012,-0.0201,+0.2469,-0.0159,0.0178,0.2205,0.0178,pid
58,32.66,-0.0066,-0.0000,+0.1688,-0.0032,0.0322,0.2833,0.0293,pid
59,15.78,-0.0029,+0.0452,-0.2562,+0.0355,0.0283,0.3980,0.0285,pid
60,14.33,+0.0140,+0.0365,-0.4594,+0.0363,0.0177,0.4314,0.0198,pid
61,0.10,+0.0167,-0.0021,-0.2719,+0.0056,0.0066,0.5652,0.0092,pid
62,0.08,+0.0045,-0.0160,-0.0312,-0.0117,0.0014,0.5921,0.0030,pid
63,0.03,-0.0060,+0.0019,-0.0203,-0.0008,0.0019,0.5981,0.0021,pid
64,0.01,+0.0007,+0.0034,-0.0250,+0.0025,0.0013,0.5995,0.0015,pid
65,0.02,+0.0033,+0.0052,-0.0437,+0.0047,0.0012,0.5997,0.0012,pid
66,0.00,+0.0046,-0.0009,-0.0047,+0.0002,0.0013,0.5999,0.0013,pid
67,0.04,+0.0015,+0.0043,-0.0219,+0.0034,0.0013,0.5995,0.0013,pid
68,0.09,+0.0023,+0.0029,-0.0219,+0.0030,0.0013,0.5990,0.0013,pid
69,0.02,+0.0031,+0.0036,-0.0281,+0.0035,0.0012,0.5995,0.0012,pid
70,0.05,+0.0027,+0.0022,-0.0203,+0.0024,0.0011,0.5994,0.0011,pid
71,0.00,+0.0030,+0.0015,-0.0094,+0.0017,0.0013,0.5998,0.0012,pid
72,0.00,+0.0023,+0.0035,-0.0187,+0.0031,0.0012,0.6000,0.0012,pid
73,0.00,+0.0040,-0.0012,+0.0141,-0.0003,0.0012,0.6000,0.0012,pid
74,0.00,+0.0013,+0.0027,+0.0031,+0.0021,0.0014,0.6000,0.0014,pid
75,0.00,+0.0033,+0.0049,-0.0219,+0.0043,0.0014,0.6000,0.0014,pid
76,0.00,+0.0044,+0.0008,-0.0047,+0.0015,0.0012,0.6000,0.0013,pid
77,0.00,+0.0022,+0.0037,-0.0172,+0.0033,0.0015,0.6000,0.0014,pid
78,0.00,+0.0035,+0.0031,-0.0203,+0.0031,0.0013,0.6000,0.0014,pid
79,0.00,+0.0035,+0.0006,-0.0016,+0.0011,0.0013,0.6000,0.0013,pid
80,0.00,+0.0019,+0.0066,-0.0391,+0.0055,0.0011,0.6000,0.0012,pid
81,0.00,+0.0045,+0.0013,-0.0203,+0.0021,0.0014,0.6000,0.0014,pid
82,0.00,+0.0028,+0.0043,-0.0328,+0.0039,0.0014,0.6000,0.0014,pid
83,0.00,+0.0041,-0.0003,-0.0031,+0.0006,0.0013,0.6000,0.0013,pid
84,0.00,+0.0016,+0.0055,-0.0312,+0.0045,0.0014,0.6000,0.0014,pid
85,0.00,+0.0047,-0.0053,+0.0391,-0.0033,0.0013,0.6000,0.0013,pid
86,0.00,-0.0006,+0.0003,+0.0391,-0.0004,0.0015,0.6000,0.0015,pid
87,0.00,+0.0012,-0.0004,+0.0437,-0.0004,0.0014,0.6000,0.0014,pid
88,0.00,+0.0015,+0.0016,+0.0297,+0.0012,0.0016,0.6000,0.0016,pid
89,0.00,+0.0029,-0.0003,+0.0359,-0.0000,0.0016,0.6000,0.0016,pid
90,20.86,-0.0107,+0.0121,-0.0625,+0.0097,0.0193,0.4270,0.0157,pid
91,12.69,-0.0050,+0.0044,-0.0625,+0.0054,0.0512,0.4496,0.0441,pid
92,11.44,-0.0051,+0.0045,-0.0625,+0.0047,0.0447,0.4638,0.0446,pid
93,15.84,-0.0050,+0.0075,-0.0875,+0.0069,0.0484,0.4337,0.0476,pid
94,20.51,-0.0071,+0.0055,-0.0875,+0.0058,0.0467,0.3960,0.0469,pid
95,24.35,-0.0019,-0.0090,+0.0328,-0.0060,0.0536,0.3647,0.0523,pid
96,27.54,-0.0051,+0.0142,-0.0797,+0.0101,0.0576,0.3398,0.0565,pid
97,30.17,+0.0039,+0.0084,-0.1062,+0.0087,0.0522,0.3203,0.0531,pid
98,32.54,+0.0033,+0.0123,-0.1562,+0.0115,0.0424,0.3039,0.0445,pid
99,34.53,+0.0050,+0.0144,-0.2078,+0.0139,0.0376,0.2904,0.0389,pid
100,36.25,+0.0057,+0.0171,-0.2641,+0.0164,0.0296,0.2792,0.0315,pid
101,37.80,+0.0089,+0.0244,-0.3625,+0.0228,0.0266,0.2695,0.0276,pid
102,39.41,+0.0101,+0.0165,-0.3625,+0.0178,0.0430,0.2599,0.0399,pid
103,40.49,+0.0076,+0.0165,-0.3625,+0.0168,0.0520,0.2529,0.0496,pid
104,41.37,+0.0074,+0.0165,-0.3625,+0.0166,0.0643,0.2476,0.0613,pid
105,42.10,+0.0088,-0.0651,+0.3125,-0.0488,0.0712,0.2432,0.0693,pid
106,42.56,-0.0329,+0.0033,+0.1891,-0.0071,0.0379,0.2403,0.0442,pid
107,43.05,-0.0049,+0.0302,-0.1156,+0.0228,0.0396,0.2375,0.0405,pid
108,43.68,+0.0132,+0.0028,-0.0891,+0.0068,0.0458,0.2341,0.0447,pid
109,44.26,+0.0035,+0.0225,-0.2313,+0.0194,0.0507,0.2309,0.0495,pid
110,44.67,+0.0124,+0.0086,-0.2094,+0.0108,0.0492,0.2285,0.0493,pid
111,45.00,+0.0077,+0.0160,-0.2562,+0.0150,0.0417,0.2266,0.0432,pid
112,45.41,+0.0103,-0.0501,+0.2594,-0.0371,0.0486,0.2244,0.0475,pid
113,45.65,-0.0214,+0.0060,+0.1328,-0.0026,0.0230,0.2230,0.0279,pid
114,46.07,-0.0012,+0.0149,-0.0250,+0.0114,0.0254,0.2209,0.0259,pid
115,46.61,+0.0090,-0.0061,+0.0437,-0.0026,0.0302,0.2182,0.0293,pid
116,46.75,+0.0013,+0.0085,-0.0312,+0.0063,0.0270,0.2171,0.0274,pid
117,45.53,+0.0064,+0.0026,-0.0312,+0.0033,0.0378,0.2220,0.0357,pid
118,45.01,+0.0039,-0.0073,+0.0500,-0.0052,0.0291,0.2252,0.0304,pid
119,44.62,-0.0019,+0.0105,-0.0437,+0.0074,0.0266,0.2276,0.0273,pid
120,38.52,+0.0068,+0.0031,-0.0437,+0.0040,0.0253,0.2557,0.0257,pid
121,43.33,+0.0040,-0.0364,+0.2812,-0.0284,0.0228,0.2393,0.0234,pid
122,44.05,-0.0141,-0.0110,+0.2812,-0.0145,0.0164,0.2329,0.0178,pid
123,44.88,-0.0073,+0.0210,+0.0141,+0.0139,0.0141,0.2280,0.0148,pid
124,16.53,+0.0029,+0.0463,-0.3688,+0.0399,0.0240,0.3817,0.0222,pid
125,0.75,+0.0134,+0.0218,-0.4125,+0.0254,0.0045,0.5482,0.0081,pid
126,6.51,+0.0020,+0.0110,-0.3500,+0.0139,0.0058,0.5251,0.0063,pid
127,13.97,+0.0026,+0.0051,-0.2594,+0.0069,0.0147,0.4595,0.0130,pid
128,11.94,-0.0065,-0.0249,+0.0500,-0.0185,0.0201,0.4619,0.0187,pid
129,15.85,-0.0118,-0.0025,+0.0688,-0.0057,0.0225,0.4333,0.0218,pid
130,18.72,-0.0079,-0.0007,+0.0656,-0.0017,0.0150,0.4077,0.0163,pid
131,15.75,-0.0048,-0.0141,+0.1719,-0.0116,0.0248,0.4231,0.0231,pid
132,17.71,-0.0104,+0.0032,+0.0969,+0.0003,0.0178,0.4125,0.0188,pid
133,17.97,-0.0059,+0.0317,-0.1875,+0.0254,0.0182,0.4086,0.0184,pid
134,17.38,+0.0078,-0.0013,-0.1000,+0.0040,0.0142,0.4119,0.0150,pid
135,18.34,-0.0060,+0.0097,-0.1313,+0.0085,0.0152,0.4059,0.0151,pid
136,17.80,-0.0020,-0.0116,+0.0250,-0.0076,0.0149,0.4084,0.0149,pid
137,18.01,-0.0073,+0.0250,-0.1750,+0.0185,0.0168,0.4075,0.0164,pid
138,17.90,+0.0025,-0.0045,-0.0625,+0.0001,0.0132,0.4081,0.0139,pid
139,17.55,-0.0057,+0.0079,-0.0906,+0.0063,0.0185,0.4106,0.0176,pid
140,18.00,-0.0010,-0.0098,+0.0375,-0.0066,0.0144,0.4080,0.0151,pid
141,18.01,-0.0096,+0.0053,-0.0031,+0.0029,0.0189,0.4075,0.0181,pid
142,18.23,-0.0029,+0.0005,+0.0094,+0.0010,0.0150,0.4059,0.0156,pid
143,18.30,-0.0055,-0.0156,+0.1500,-0.0123,0.0162,0.4051,0.0161,pid
144,17.30,-0.0080,-0.0089,+0.1844,-0.0096,0.0189,0.4117,0.0183,pid
145,16.43,-0.0054,+0.0206,-0.0375,+0.0145,0.0143,0.4191,0.0151,pid
146,16.30,+0.0011,+0.0258,-0.2250,+0.0235,0.0141,0.4215,0.0143,pid
147,14.67,-0.0001,-0.0223,+0.0500,-0.0132,0.0145,0.4336,0.0145,pid
148,14.91,-0.0072,-0.0130,+0.1531,-0.0130,0.0214,0.4344,0.0200,pid
149,15.04,-0.0062,+0.0464,-0.2687,+0.0345,0.0280,0.4336,0.0264,pid
150,14.68,+0.0074,-0.0139,-0.0469,-0.0042,0.0079,0.4360,0.0116,pid
151,14.36,-0.0039,+0.0174,-0.1594,+0.0131,0.0202,0.4388,0.0185,pid
152,14.20,+0.0012,-0.0294,+0.1531,-0.0209,0.0188,0.4406,0.0188,pid
153,14.23,-0.0068,+0.0021,+0.0969,-0.0025,0.0267,0.4407,0.0251,pid
154,14.04,-0.0019,+0.0009,+0.0688,+0.0002,0.0215,0.4422,0.0222,pid
155,13.76,-0.0013,+0.0431,-0.2969,+0.0345,0.0210,0.4445,0.0212,pid
156,12.39,+0.0017,-0.0015,-0.1688,+0.0057,0.0177,0.4554,0.0184,pid
157,13.02,-0.0022,-0.0006,-0.0906,+0.0006,0.0220,0.4528,0.0213,pid
158,13.30,-0.0010,-0.0251,+0.1625,-0.0199,0.0136,0.4501,0.0151,pid
159,12.47,-0.0099,+0.0442,-0.2437,+0.0314,0.0197,0.4559,0.0188,pid
160,12.14,+0.0020,-0.0175,+0.0000,-0.0077,0.0115,0.4596,0.0130,pid
161,11.97,-0.0096,+0.0174,-0.1281,+0.0124,0.0168,0.4617,0.0160,pid
162,11.90,-0.0042,-0.0285,+0.1656,-0.0203,0.0197,0.4626,0.0189,pid
163,12.18,-0.0098,-0.0041,+0.1562,-0.0074,0.0153,0.4606,0.0160,pid
164,11.80,-0.0085,+0.0001,+0.1125,-0.0014,0.0158,0.4632,0.0159,pid
165,11.55,-0.0070,+0.0067,+0.0281,+0.0051,0.0162,0.4657,0.0161,pid
