frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.01,-0.0010,-0.0005,0.0552,0.3000,0.0276
1,0.00,+0.0015,+0.0005,0.0109,0.4500,0.0192
2,0.00,+0.0021,+0.0013,0.0030,0.5250,0.0111
3,0.01,+0.0029,+0.0021,0.0022,0.5624,0.0066
4,0.01,+0.0040,+0.0030,0.0019,0.5812,0.0043
5,0.01,+0.0044,+0.0036,0.0012,0.5905,0.0027
6,0.01,+0.0047,+0.0041,0.0011,0.5952,0.0019
7,0.00,+0.0047,+0.0043,0.0013,0.5976,0.0016
8,0.00,+0.0049,+0.0044,0.0014,0.5988,0.0015
9,0.00,+0.0049,+0.0045,0.0013,0.5994,0.0014
10,0.00,+0.0052,+0.0047,0.0014,0.5997,0.0014
11,0.00,+0.0052,+0.0047,0.0014,0.5998,0.0014
12,0.00,+0.0053,+0.0048,0.0011,0.5999,0.0012
13,0.00,+0.0051,+0.0047,0.0014,0.6000,0.0013
14,0.00,+0.0053,+0.0047,0.0012,0.6000,0.0013
15,0.00,+0.0048,+0.0045,0.0012,0.6000,0.0012
16,0.00,+0.0052,+0.0045,0.0014,0.6000,0.0013
17,0.00,+0.0051,+0.0045,0.0012,0.6000,0.0013
18,0.00,+0.0055,+0.0046,0.0013,0.6000,0.0013
19,0.00,+0.0049,+0.0044,0.0013,0.6000,0.0013
20,8.09,-0.0002,+0.0017,0.0149,0.5509,0.0081
21,7.73,-0.0034,-0.0012,0.0139,0.5284,0.0110
22,11.23,-0.0065,-0.0042,0.0251,0.4989,0.0180
23,13.87,-0.0086,-0.0067,0.0504,0.4715,0.0342
24,17.34,-0.0098,-0.0085,0.0412,0.4423,0.0377
25,20.90,-0.0134,-0.0111,0.0509,0.4129,0.0443
26,25.09,-0.0083,-0.0098,0.0518,0.3821,0.0480
27,28.17,-0.0071,-0.0085,0.0450,0.3556,0.0465
28,31.31,-0.0058,-0.0072,0.0415,0.3317,0.0440
29,33.58,-0.0050,-0.0062,0.0402,0.3124,0.0421
30,36.00,-0.0034,-0.0048,0.0309,0.2951,0.0365
31,37.66,-0.0030,-0.0039,0.0284,0.2815,0.0324
32,39.39,-0.0026,-0.0032,0.0270,0.2695,0.0297
33,40.61,-0.0030,-0.0031,0.0256,0.2600,0.0277
34,42.00,-0.0029,-0.0029,0.0279,0.2513,0.0278
35,43.02,-0.0033,-0.0031,0.0339,0.2441,0.0309
36,44.00,-0.0031,-0.0030,0.0278,0.2378,0.0293
37,44.64,-0.0032,-0.0030,0.0310,0.2329,0.0302
38,45.39,-0.0045,-0.0036,0.0368,0.2285,0.0335
39,45.87,-0.0037,-0.0035,0.0357,0.2250,0.0346
40,46.39,-0.0027,-0.0030,0.0351,0.2218,0.0349
41,46.82,-0.0020,-0.0023,0.0297,0.2191,0.0323
42,47.15,-0.0033,-0.0027,0.0285,0.2169,0.0304
43,47.30,-0.0036,-0.0029,0.0412,0.2154,0.0358
44,47.77,-0.0033,-0.0029,0.0428,0.2134,0.0393
45,48.02,-0.0033,-0.0029,0.0433,0.2118,0.0413
46,48.13,-0.0036,-0.0030,0.0286,0.2107,0.0350
47,48.24,-0.0038,-0.0031,0.0353,0.2098,0.0351
48,48.29,-0.0036,-0.0031,0.0382,0.2093,0.0367
49,48.19,-0.0053,-0.0039,0.0516,0.2093,0.0441
50,48.41,-0.0045,-0.0039,0.0295,0.2087,0.0368
51,48.55,-0.0044,-0.0038,0.0355,0.2080,0.0362
52,48.74,-0.0049,-0.0040,0.0368,0.2072,0.0365
53,48.86,-0.0042,-0.0037,0.0467,0.2065,0.0416
54,48.79,-0.0040,-0.0035,0.0513,0.2063,0.0465
55,48.76,-0.0042,-0.0035,0.0558,0.2063,0.0511
56,48.51,-0.0043,-0.0035,0.0561,0.2070,0.0536
57,48.39,-0.0042,-0.0034,0.0598,0.2076,0.0567
58,48.29,-0.0040,-0.0033,0.0512,0.2082,0.0540
59,48.05,-0.0040,-0.0032,0.0527,0.2091,0.0533
60,47.84,-0.0030,-0.0026,0.0578,0.2101,0.0556
61,47.89,-0.0017,-0.0017,0.0473,0.2104,0.0515
62,47.87,-0.0017,-0.0012,0.0502,0.2107,0.0508
63,47.76,-0.0018,-0.0010,0.0514,0.2111,0.0511
64,47.77,-0.0017,-0.0009,0.0436,0.2113,0.0473
65,47.73,-0.0017,-0.0008,0.0469,0.2115,0.0471
66,47.66,-0.0006,-0.0002,0.0488,0.2117,0.0479
67,47.62,-0.0005,+0.0001,0.0542,0.2120,0.0511
68,47.65,-0.0001,+0.0005,0.0431,0.2120,0.0471
69,47.53,-0.0013,+0.0001,0.0421,0.2124,0.0446
70,47.51,-0.0010,+0.0000,0.0445,0.2126,0.0446
71,47.69,-0.0006,+0.0002,0.0377,0.2122,0.0411
72,47.89,-0.0008,+0.0002,0.0326,0.2115,0.0369
73,47.93,-0.0015,-0.0002,0.0321,0.2111,0.0345
74,48.09,-0.0018,-0.0005,0.0313,0.2104,0.0329
75,48.16,-0.0024,-0.0009,0.0304,0.2099,0.0316
76,48.33,-0.0019,-0.0009,0.0286,0.2092,0.0301
77,48.69,-0.0010,-0.0005,0.0253,0.2079,0.0277
78,48.49,-0.0020,-0.0007,0.0241,0.2078,0.0259
79,48.90,-0.0027,-0.0012,0.0227,0.2067,0.0243
80,48.99,-0.0027,-0.0014,0.0238,0.2059,0.0241
81,49.09,-0.0022,-0.0013,0.0219,0.2053,0.0230
82,49.37,-0.0015,-0.0009,0.0215,0.2042,0.0222
83,49.22,+0.0007,+0.0004,0.0212,0.2041,0.0217
84,49.54,+0.0023,+0.0019,0.0279,0.2032,0.0248
85,49.62,+0.0023,+0.0026,0.0239,0.2026,0.0243
86,48.08,+0.0023,+0.0029,0.0246,0.2062,0.0245
87,47.48,+0.0026,+0.0032,0.0243,0.2096,0.0244
88,47.39,+0.0043,+0.0042,0.0241,0.2115,0.0242
89,47.80,+0.0044,+0.0047,0.0228,0.2114,0.0235
90,47.61,+0.0046,+0.0050,0.0225,0.2118,0.0230
91,47.15,+0.0043,+0.0050,0.0216,0.2132,0.0223
92,47.13,+0.0047,+0.0052,0.0209,0.2140,0.0216
93,47.40,+0.0054,+0.0056,0.0227,0.2137,0.0222
94,46.80,+0.0047,+0.0054,0.0235,0.2151,0.0228
95,46.85,+0.0055,+0.0057,0.0255,0.2157,0.0242
