frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.00,-0.0010,-0.0005,0.0548,0.3000,0.0274
1,0.00,+0.0018,+0.0006,0.0114,0.4500,0.0194
2,0.00,+0.0021,+0.0014,0.0036,0.5250,0.0115
3,0.00,+0.0027,+0.0020,0.0020,0.5625,0.0067
4,0.01,+0.0036,+0.0027,0.0016,0.5812,0.0042
5,1.93,-0.0012,+0.0007,0.0024,0.5777,0.0033
6,8.29,-0.0034,-0.0013,0.0134,0.5387,0.0083
7,12.92,-0.0069,-0.0041,0.0346,0.4959,0.0215
8,18.67,-0.0117,-0.0078,0.0344,0.4488,0.0279
9,25.22,-0.0092,-0.0084,0.0454,0.3996,0.0366
10,31.12,-0.0074,-0.0077,0.0363,0.3543,0.0365
11,35.19,-0.0062,-0.0068,0.0346,0.3186,0.0355
12,38.49,-0.0054,-0.0059,0.0272,0.2907,0.0314
13,40.98,-0.0032,-0.0043,0.0215,0.2696,0.0264
14,42.96,-0.0039,-0.0039,0.0262,0.2535,0.0263
15,44.46,-0.0028,-0.0031,0.0276,0.2413,0.0270
16,45.70,-0.0018,-0.0022,0.0292,0.2318,0.0281
17,46.53,-0.0026,-0.0021,0.0318,0.2249,0.0299
18,47.21,-0.0033,-0.0024,0.0357,0.2196,0.0328
19,47.69,-0.0026,-0.0022,0.0303,0.2157,0.0315
20,48.15,-0.0040,-0.0028,0.0421,0.2126,0.0368
21,48.31,-0.0039,-0.0030,0.0435,0.2106,0.0401
22,48.34,-0.0039,-0.0031,0.0424,0.2096,0.0413
23,48.50,-0.0035,-0.0029,0.0376,0.2086,0.0394
24,48.61,-0.0046,-0.0034,0.0322,0.2079,0.0358
25,48.63,-0.0050,-0.0038,0.0475,0.2074,0.0417
26,48.62,-0.0045,-0.0037,0.0471,0.2072,0.0444
27,48.45,-0.0052,-0.0040,0.0403,0.2076,0.0423
28,48.74,-0.0055,-0.0043,0.0318,0.2070,0.0371
29,48.77,-0.0051,-0.0042,0.0421,0.2066,0.0396
30,48.74,-0.0057,-0.0045,0.0410,0.2065,0.0403
31,48.84,-0.0048,-0.0041,0.0396,0.2062,0.0399
32,48.80,-0.0047,-0.0039,0.0388,0.2062,0.0393
33,48.64,-0.0044,-0.0036,0.0488,0.2065,0.0441
34,48.70,-0.0039,-0.0032,0.0487,0.2066,0.0464
35,48.75,-0.0040,-0.0030,0.0648,0.2065,0.0556
36,48.32,-0.0033,-0.0026,0.0633,0.2075,0.0594
37,48.44,-0.0027,-0.0020,0.0571,0.2078,0.0583
38,47.99,-0.0031,-0.0019,0.0566,0.2090,0.0574
39,48.08,-0.0016,-0.0011,0.0563,0.2094,0.0569
