frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0009,+0.0018,-0.0437,+0.0018,0.0524,0.0000,0.0524,pid
1,0.00,+0.0011,+0.0010,-0.0359,+0.0010,0.0572,0.0000,0.0572,pid
2,0.00,+0.0008,+0.0022,-0.0406,+0.0022,0.0586,0.0000,0.0586,pid
3,0.00,+0.0015,+0.0019,-0.0406,+0.0019,0.0576,0.0000,0.0576,pid
4,0.00,+0.0014,+0.0020,-0.0406,+0.0020,0.0584,0.0000,0.0584,pid
5,0.00,+0.0018,+0.0029,-0.0469,+0.0029,0.0573,0.0000,0.0573,pid
6,0.00,+0.0024,+0.0019,-0.0422,+0.0019,0.0565,0.0000,0.0565,pid
7,0.00,+0.0014,+0.0022,-0.0406,+0.0022,0.0577,0.0000,0.0577,pid
8,0.00,+0.0017,+0.0027,-0.0437,+0.0027,0.0572,0.0000,0.0572,pid
9,0.00,+0.0023,+0.0026,-0.0437,+0.0026,0.0568,0.0000,0.0568,pid
10,0.00,+0.0020,+0.0027,-0.0437,+0.0027,0.0572,0.0000,0.0572,pid
11,0.00,+0.0019,+0.0026,-0.0422,+0.0026,0.0423,0.0000,0.0423,pid
12,0.00,+0.0020,+0.0028,-0.0422,+0.0028,0.0543,0.0000,0.0543,pid
13,0.00,+0.0024,+0.0025,-0.0391,+0.0025,0.0568,0.0000,0.0568,pid
14,0.00,+0.0020,+0.0024,-0.0359,+0.0024,0.0570,0.0000,0.0570,pid
15,0.00,+0.0021,+0.0029,-0.0375,+0.0029,0.0563,0.0000,0.0563,pid
16,0.00,+0.0022,+0.0033,-0.0406,+0.0033,0.0559,0.0000,0.0559,pid
17,0.00,+0.0034,+0.0027,-0.0375,+0.0027,0.0402,0.0000,0.0402,pid
18,0.00,+0.0007,-0.0082,+0.0547,-0.0082,0.0293,0.0000,0.0293,pid
19,0.00,-0.0088,-0.0009,+0.0547,-0.0009,0.0317,0.0000,0.0317,pid
20,0.00,-0.0008,+0.0100,-0.0359,+0.0100,0.0292,0.0000,0.0292,pid
21,0.00,+0.0088,+0.0032,-0.0391,+0.0032,0.0350,0.0000,0.0350,pid
22,0.00,+0.0034,+0.0063,-0.0656,+0.0063,0.0413,0.0000,0.0413,pid
23,0.00,+0.0051,+0.0007,-0.0359,+0.0007,0.0433,0.0000,0.0433,pid
24,0.00,+0.0013,+0.0033,-0.0375,+0.0033,0.0465,0.0000,0.0465,pid
25,0.00,+0.0052,+0.0033,-0.0375,+0.0033,0.0462,0.0000,0.0462,pid
26,0.00,+0.0062,+0.0041,-0.0437,+0.0041,0.0470,0.0000,0.0470,pid
27,0.00,+0.0052,+0.0044,-0.0500,+0.0044,0.0476,0.0000,0.0476,pid
28,0.00,+0.0055,+0.0031,-0.0422,+0.0031,0.0442,0.0000,0.0442,pid
29,0.00,+0.0047,+0.0033,-0.0391,+0.0033,0.0450,0.0000,0.0450,pid
30,0.00,+0.0047,+0.0049,-0.0500,+0.0049,0.0463,0.0000,0.0463,pid
31,0.00,+0.0059,+0.0032,-0.0437,+0.0032,0.0455,0.0000,0.0455,pid
32,0.00,+0.0047,+0.0032,-0.0391,+0.0032,0.0468,0.0000,0.0468,pid
33,0.00,+0.0047,+0.0039,-0.0422,+0.0039,0.0504,0.0000,0.0504,pid
34,0.00,+0.0058,+0.0039,-0.0437,+0.0039,0.0477,0.0000,0.0477,pid
35,0.00,+0.0057,+0.0045,-0.0500,+0.0045,0.0468,0.0000,0.0468,pid
36,0.00,+0.0060,+0.0025,-0.0375,+0.0025,0.0450,0.0000,0.0450,pid
37,0.00,+0.0046,+0.0041,-0.0422,+0.0041,0.0461,0.0000,0.0461,pid
38,0.00,+0.0058,+0.0024,-0.0312,+0.0024,0.0463,0.0000,0.0463,pid
39,0.00,+0.0047,+0.0044,-0.0406,+0.0044,0.0464,0.0000,0.0464,pid
40,0.00,+0.0060,+0.0034,-0.0391,+0.0034,0.0421,0.0000,0.0421,pid
41,0.00,+0.0050,+0.0034,-0.0375,+0.0034,0.0459,0.0000,0.0459,pid
