frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.01,-0.0031,-0.0016,0.0162,0.3000,0.0081
1,0.00,-0.0009,-0.0012,0.0032,0.4500,0.0056
2,0.00,+0.0018,+0.0003,0.0013,0.5250,0.0034
3,0.01,+0.0032,+0.0017,0.0008,0.5625,0.0021
4,0.01,+0.0044,+0.0030,0.0008,0.5812,0.0015
5,0.00,+0.0053,+0.0042,0.0007,0.5906,0.0011
6,0.00,+0.0059,+0.0050,0.0007,0.5953,0.0009
7,0.00,+0.0064,+0.0057,0.0007,0.5976,0.0008
8,0.00,+0.0067,+0.0062,0.0006,0.5988,0.0007
9,0.00,+0.0069,+0.0066,0.0007,0.5994,0.0007
10,0.00,+0.0070,+0.0068,0.0007,0.5997,0.0007
11,0.00,+0.0071,+0.0069,0.0007,0.5999,0.0007
12,0.00,+0.0072,+0.0071,0.0007,0.5999,0.0007
13,0.00,+0.0072,+0.0071,0.0006,0.6000,0.0007
14,0.00,+0.0073,+0.0072,0.0006,0.6000,0.0006
15,0.00,+0.0071,+0.0072,0.0006,0.6000,0.0006
16,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
17,0.00,+0.0072,+0.0072,0.0006,0.6000,0.0006
18,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
19,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0006
20,0.00,+0.0095,+0.0084,0.0007,0.6000,0.0007
21,0.00,+0.0100,+0.0092,0.0007,0.6000,0.0007
22,0.00,+0.0100,+0.0096,0.0007,0.6000,0.0007
23,0.00,+0.0102,+0.0099,0.0007,0.6000,0.0007
24,0.00,+0.0105,+0.0102,0.0007,0.6000,0.0007
25,0.00,+0.0107,+0.0105,0.0007,0.6000,0.0007
26,0.00,+0.0107,+0.0106,0.0010,0.6000,0.0009
27,0.00,+0.0105,+0.0106,0.0009,0.6000,0.0009
28,0.00,+0.0107,+0.0106,0.0010,0.6000,0.0009
29,0.00,+0.0107,+0.0107,0.0010,0.6000,0.0010
30,0.00,+0.0107,+0.0107,0.0010,0.6000,0.0010
31,0.00,+0.0107,+0.0107,0.0010,0.6000,0.0010
32,0.00,+0.0107,+0.0107,0.0010,0.6000,0.0010
33,0.00,+0.0107,+0.0107,0.0009,0.6000,0.0009
34,0.00,+0.0107,+0.0107,0.0009,0.6000,0.0009
35,0.00,+0.0108,+0.0107,0.0009,0.6000,0.0009
36,0.00,+0.0107,+0.0107,0.0010,0.6000,0.0009
37,0.00,+0.0107,+0.0107,0.0009,0.6000,0.0009
38,0.00,+0.0107,+0.0107,0.0009,0.6000,0.0009
39,0.00,+0.0104,+0.0105,0.0011,0.6000,0.0010
40,0.00,+0.0106,+0.0106,0.0009,0.6000,0.0009
41,0.00,+0.0106,+0.0106,0.0009,0.6000,0.0009
42,0.00,+0.0109,+0.0107,0.0010,0.6000,0.0010
43,6.43,+0.0035,+0.0071,0.0003,0.5768,0.0006
44,7.76,+0.0026,+0.0049,0.0003,0.5608,0.0005
45,11.23,+0.0029,+0.0039,0.0011,0.5415,0.0008
46,14.80,+0.0021,+0.0030,0.0019,0.5210,0.0014
47,18.35,+0.0020,+0.0025,0.0023,0.5004,0.0019
48,23.97,+0.0011,+0.0018,0.0034,0.4749,0.0026
49,28.43,+0.0011,+0.0014,0.0039,0.4507,0.0033
50,32.87,+0.0020,+0.0017,0.0040,0.4279,0.0036
51,36.17,+0.0009,+0.0013,0.0053,0.4089,0.0045
52,39.68,+0.0018,+0.0016,0.0066,0.3917,0.0055
53,42.09,+0.0019,+0.0017,0.0069,0.3779,0.0062
54,44.59,+0.0028,+0.0022,0.0057,0.3658,0.0060
55,46.41,+0.0010,+0.0016,0.0062,0.3560,0.0061
56,48.18,+0.0019,+0.0017,0.0087,0.3475,0.0074
57,49.47,+0.0015,+0.0016,0.0066,0.3408,0.0070
58,50.78,+0.0003,+0.0010,0.0078,0.3348,0.0074
59,50.64,+0.0017,+0.0013,0.0086,0.3321,0.0080
60,50.74,+0.0015,+0.0014,0.0095,0.3306,0.0088
61,50.92,+0.0007,+0.0011,0.0077,0.3295,0.0082
62,50.75,+0.0018,+0.0015,0.0077,0.3292,0.0080
63,50.95,+0.0025,+0.0020,0.0075,0.3287,0.0077
64,50.69,+0.0025,+0.0023,0.0080,0.3290,0.0079
65,50.80,+0.0016,+0.0019,0.0087,0.3289,0.0083
66,50.69,+0.0029,+0.0024,0.0080,0.3291,0.0082
67,50.95,+0.0031,+0.0027,0.0081,0.3287,0.0081
68,50.51,+0.0024,+0.0026,0.0099,0.3293,0.0090
69,50.89,+0.0017,+0.0022,0.0093,0.3289,0.0092
70,50.87,+0.0021,+0.0021,0.0103,0.3287,0.0097
71,50.73,+0.0026,+0.0024,0.0081,0.3289,0.0089
72,50.60,+0.0029,+0.0026,0.0093,0.3293,0.0091
73,50.93,+0.0031,+0.0029,0.0091,0.3288,0.0091
74,50.76,+0.0032,+0.0030,0.0096,0.3289,0.0093
75,50.72,+0.0040,+0.0035,0.0088,0.3290,0.0091
76,50.92,+0.0013,+0.0024,0.0104,0.3287,0.0098
77,50.86,+0.0015,+0.0020,0.0103,0.3286,0.0100
78,50.72,+0.0025,+0.0022,0.0088,0.3289,0.0094
79,50.79,+0.0037,+0.0030,0.0095,0.3289,0.0094
80,50.90,+0.0022,+0.0026,0.0095,0.3286,0.0095
81,50.89,+0.0018,+0.0022,0.0119,0.3286,0.0107
82,50.74,+0.0023,+0.0022,0.0089,0.3288,0.0098
83,50.89,+0.0035,+0.0029,0.0089,0.3286,0.0094
84,50.91,+0.0028,+0.0028,0.0082,0.3285,0.0088
85,50.74,+0.0025,+0.0027,0.0100,0.3288,0.0094
86,50.76,+0.0031,+0.0029,0.0088,0.3289,0.0091
87,50.77,+0.0034,+0.0031,0.0087,0.3289,0.0089
88,50.76,+0.0031,+0.0031,0.0085,0.3289,0.0087
89,50.73,+0.0027,+0.0029,0.0103,0.3290,0.0095
90,50.81,+0.0010,+0.0020,0.0080,0.3289,0.0087
91,50.91,+0.0015,+0.0017,0.0085,0.3286,0.0086
92,50.68,+0.0012,+0.0015,0.0076,0.3290,0.0081
93,50.79,-0.0012,+0.0001,0.0077,0.3289,0.0079
94,50.97,+0.0008,+0.0005,0.0075,0.3285,0.0077
95,50.82,+0.0008,+0.0006,0.0078,0.3286,0.0078
96,51.02,+0.0002,+0.0004,0.0073,0.3283,0.0076
97,50.73,-0.0005,-0.0001,0.0092,0.3287,0.0084
98,50.79,+0.0012,+0.0006,0.0068,0.3288,0.0076
99,50.82,+0.0017,+0.0011,0.0060,0.3288,0.0068
100,49.26,+0.0026,+0.0019,0.0074,0.3318,0.0071
101,48.75,+0.0031,+0.0025,0.0070,0.3343,0.0070
102,50.05,+0.0038,+0.0031,0.0082,0.3330,0.0076
103,50.55,+0.0045,+0.0038,0.0074,0.3314,0.0075
104,50.73,+0.0036,+0.0037,0.0095,0.3302,0.0085
105,50.57,+0.0034,+0.0035,0.0097,0.3300,0.0091
106,50.78,+0.0017,+0.0026,0.0086,0.3294,0.0089
107,50.78,+0.0022,+0.0024,0.0096,0.3292,0.0093
108,50.86,+0.0012,+0.0018,0.0075,0.3289,0.0084
109,50.61,+0.0013,+0.0016,0.0070,0.3292,0.0077
110,50.67,+0.0006,+0.0011,0.0108,0.3293,0.0093
111,50.80,+0.0011,+0.0011,0.0084,0.3290,0.0088
112,51.00,+0.0018,+0.0015,0.0095,0.3285,0.0092
113,50.87,+0.0006,+0.0010,0.0107,0.3285,0.0099
114,50.92,+0.0014,+0.0012,0.0117,0.3284,0.0108
115,50.67,+0.0002,+0.0007,0.0093,0.3289,0.0100
116,50.80,+0.0008,+0.0007,0.0109,0.3288,0.0105
117,50.80,+0.0011,+0.0009,0.0098,0.3288,0.0102
118,50.78,+0.0014,+0.0012,0.0107,0.3289,0.0104
119,50.78,+0.0014,+0.0013,0.0115,0.3289,0.0109
120,50.67,+0.0030,+0.0022,0.0099,0.3291,0.0104
121,50.50,+0.0024,+0.0023,0.0084,0.3295,0.0094
122,49.94,+0.0027,+0.0025,0.0073,0.3308,0.0084
123,49.56,+0.0016,+0.0020,0.0084,0.3322,0.0084
124,50.55,+0.0030,+0.0025,0.0089,0.3310,0.0086
125,50.75,+0.0020,+0.0022,0.0084,0.3300,0.0085
126,50.44,+0.0019,+0.0021,0.0085,0.3301,0.0085
127,50.59,+0.0022,+0.0021,0.0083,0.3299,0.0084
128,50.78,+0.0013,+0.0017,0.0078,0.3294,0.0081
129,50.61,+0.0023,+0.0020,0.0075,0.3295,0.0078
130,50.80,+0.0026,+0.0023,0.0096,0.3291,0.0087
131,50.62,+0.0019,+0.0021,0.0096,0.3293,0.0091
132,50.94,+0.0026,+0.0024,0.0076,0.3288,0.0084
133,50.72,+0.0014,+0.0019,0.0094,0.3290,0.0089
134,50.80,+0.0020,+0.0019,0.0102,0.3289,0.0096
135,50.68,+0.0014,+0.0017,0.0101,0.3291,0.0098
136,50.88,+0.0013,+0.0015,0.0065,0.3288,0.0082
137,50.99,+0.0003,+0.0009,0.0086,0.3284,0.0084
