frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.00,-0.0006,-0.0003,0.0564,0.3000,0.0282
1,0.00,+0.0015,+0.0006,0.0112,0.4500,0.0197
2,0.00,+0.0024,+0.0015,0.0035,0.5250,0.0116
3,0.01,+0.0036,+0.0025,0.0025,0.5624,0.0070
4,0.01,+0.0035,+0.0030,0.0017,0.5812,0.0044
5,0.01,+0.0042,+0.0035,0.0014,0.5906,0.0029
6,0.01,+0.0045,+0.0039,0.0013,0.5953,0.0021
7,0.00,+0.0048,+0.0042,0.0013,0.5976,0.0017
8,0.00,+0.0052,+0.0046,0.0014,0.5988,0.0015
9,0.00,+0.0048,+0.0045,0.0013,0.5994,0.0014
10,0.00,+0.0046,+0.0044,0.0013,0.5997,0.0014
11,0.00,+0.0049,+0.0045,0.0015,0.5998,0.0014
12,0.00,+0.0050,+0.0045,0.0014,0.5999,0.0014
13,0.00,+0.0050,+0.0045,0.0015,0.6000,0.0014
14,0.00,+0.0049,+0.0044,0.0014,0.6000,0.0014
15,0.00,+0.0052,+0.0045,0.0014,0.6000,0.0014
16,0.00,+0.0048,+0.0043,0.0012,0.6000,0.0013
17,0.00,+0.0051,+0.0044,0.0014,0.6000,0.0014
18,0.00,+0.0048,+0.0042,0.0013,0.6000,0.0013
19,0.00,+0.0047,+0.0041,0.0015,0.6000,0.0014
20,0.00,+0.0045,+0.0039,0.0012,0.6000,0.0013
21,0.00,+0.0049,+0.0040,0.0014,0.6000,0.0013
22,0.00,+0.0048,+0.0040,0.0014,0.6000,0.0014
23,0.00,+0.0045,+0.0038,0.0014,0.6000,0.0014
24,0.00,+0.0047,+0.0038,0.0012,0.6000,0.0013
25,0.00,+0.0048,+0.0038,0.0015,0.6000,0.0014
26,0.00,+0.0046,+0.0037,0.0013,0.6000,0.0013
27,0.00,+0.0043,+0.0035,0.0012,0.6000,0.0013
28,0.00,+0.0045,+0.0034,0.0014,0.6000,0.0013
29,0.00,+0.0052,+0.0037,0.0014,0.6000,0.0014
