frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0010,+0.0018,-0.0422,+0.0018,0.0000,0.6000,0.0000,pid
1,0.77,-0.0046,+0.0020,-0.0437,+0.0020,0.0000,0.5925,0.0000,pid
2,3.16,-0.0025,-0.0022,-0.0094,-0.0022,0.0000,0.5701,0.0000,pid
3,5.73,-0.0037,-0.0028,+0.0187,-0.0028,0.0000,0.5473,0.0000,pid
4,8.02,-0.0047,+0.0020,-0.0031,+0.0020,0.0000,0.5281,0.0000,pid
5,9.70,-0.0025,-0.0018,+0.0141,-0.0018,0.0000,0.5146,0.0000,pid
6,11.40,-0.0054,-0.0008,+0.0172,-0.0008,0.0000,0.5013,0.0000,pid
7,12.93,-0.0065,-0.0033,+0.0391,-0.0033,0.0000,0.4898,0.0000,pid
8,14.88,-0.0083,-0.0012,+0.0359,-0.0012,0.0000,0.4755,0.0000,pid
9,17.96,-0.0101,-0.0016,+0.0359,-0.0016,0.0000,0.4539,0.0000,pid
10,21.15,-0.0107,-0.0016,+0.0359,-0.0016,0.0000,0.4327,0.0000,pid
11,24.39,-0.0069,-0.0017,+0.0359,-0.0017,0.0000,0.4123,0.0000,pid
12,27.91,-0.0051,-0.0018,+0.0359,-0.0018,0.0000,0.3913,0.0000,pid
13,31.58,-0.0048,-0.0140,+0.1359,-0.0140,0.0000,0.3704,0.0000,pid
14,34.62,-0.0100,-0.0094,+0.1609,-0.0094,0.0000,0.3540,0.0000,pid
15,37.50,-0.0070,-0.0079,+0.1625,-0.0079,0.0000,0.3390,0.0000,pid
16,40.00,-0.0063,-0.0096,+0.1750,-0.0096,0.0000,0.3264,0.0000,pid
17,42.01,-0.0071,-0.0090,+0.1750,-0.0090,0.0000,0.3165,0.0000,pid
18,44.02,-0.0075,-0.0158,+0.2313,-0.0158,0.0000,0.3070,0.0000,pid
19,45.86,-0.0109,-0.0126,+0.2422,-0.0126,0.0000,0.2983,0.0000,pid
20,47.18,-0.0094,-0.0124,+0.2484,-0.0124,0.0000,0.2923,0.0000,pid
21,48.45,-0.0077,-0.0123,+0.2516,-0.0123,0.0000,0.2866,0.0000,pid
22,49.75,-0.0094,-0.0085,+0.2219,-0.0085,0.0000,0.2808,0.0000,pid
23,51.15,-0.0065,-0.0248,+0.3375,-0.0248,0.0000,0.2746,0.0000,pid
24,52.41,-0.0168,+0.0008,+0.2016,+0.0008,0.0000,0.2692,0.0000,pid
25,53.62,-0.0001,-0.0043,+0.1531,-0.0043,0.0000,0.2640,0.0000,pid
26,54.81,-0.0024,-0.0063,+0.1375,-0.0063,0.0000,0.2590,0.0000,pid
27,55.61,-0.0051,-0.0026,+0.0969,-0.0026,0.0000,0.2557,0.0000,pid
28,56.53,-0.0035,-0.0016,+0.0609,-0.0016,0.0000,0.2519,0.0000,pid
29,57.48,-0.0021,-0.0014,+0.0359,-0.0014,0.0000,0.2480,0.0000,pid
30,58.42,-0.0024,-0.0021,+0.0250,-0.0021,0.0000,0.2442,0.0000,pid
31,59.32,-0.0023,+0.0017,-0.0141,+0.0017,0.0000,0.2405,0.0000,pid
32,60.23,-0.0011,+0.0038,-0.0563,+0.0038,0.0000,0.2369,0.0000,pid
33,60.96,-0.0013,+0.0009,-0.0594,+0.0009,0.0000,0.2341,0.0000,pid
34,61.67,-0.0029,-0.0052,-0.0109,-0.0052,0.0000,0.2313,0.0000,pid
35,62.41,-0.0069,+0.0066,-0.0750,+0.0066,0.0000,0.2284,0.0000,pid
36,62.93,-0.0000,-0.0019,-0.0469,-0.0019,0.0000,0.2264,0.0000,pid
37,63.53,-0.0034,-0.0014,-0.0312,-0.0014,0.0000,0.2241,0.0000,pid
38,64.20,-0.0030,-0.0033,-0.0047,-0.0033,0.0000,0.2215,0.0000,pid
39,64.83,-0.0038,-0.0012,-0.0047,-0.0012,0.0000,0.2191,0.0000,pid
40,65.39,-0.0028,-0.0018,+0.0000,-0.0018,0.0000,0.2170,0.0000,pid
41,65.94,-0.0036,-0.0052,+0.0312,-0.0052,0.0000,0.2149,0.0000,pid
42,66.45,-0.0055,-0.0037,+0.0391,-0.0037,0.0000,0.2130,0.0000,pid
43,66.97,-0.0045,-0.0055,+0.0578,-0.0055,0.0000,0.2111,0.0000,pid
44,67.46,-0.0051,-0.0098,+0.1047,-0.0098,0.0000,0.2093,0.0000,pid
45,67.93,-0.0077,-0.0094,+0.1313,-0.0094,0.0000,0.2075,0.0000,pid
46,68.31,-0.0081,-0.0078,+0.1359,-0.0078,0.0000,0.2061,0.0000,pid
47,68.85,-0.0078,-0.0103,+0.1594,-0.0103,0.0000,0.2042,0.0000,pid
48,69.26,-0.0079,-0.0078,+0.1547,-0.0078,0.0000,0.2027,0.0000,pid
49,69.73,-0.0069,-0.0101,+0.1703,-0.0101,0.0000,0.2010,0.0000,pid
50,70.07,-0.0084,-0.0060,+0.1469,-0.0060,0.0000,0.0000,0.0000,pid
51,69.70,-0.0051,-0.0081,+0.1484,-0.0081,0.0000,0.2011,0.0000,pid
52,69.89,-0.0065,-0.0085,+0.1531,-0.0085,0.0000,0.2004,0.0000,pid
53,70.17,-0.0065,-0.0051,+0.1281,-0.0051,0.0000,0.0000,0.0000,pid
54,69.93,-0.0059,-0.0054,+0.1141,-0.0054,0.0000,0.2002,0.0000,pid
55,70.01,-0.0048,-0.0068,+0.1156,-0.0068,0.0000,0.0000,0.0000,pid
56,69.78,-0.0060,-0.0077,+0.1250,-0.0077,0.0000,0.2008,0.0000,pid
57,69.83,-0.0068,-0.0036,+0.0969,-0.0036,0.0000,0.2006,0.0000,pid
58,70.17,-0.0038,-0.0047,+0.0875,-0.0047,0.0000,0.0000,0.0000,pid
59,69.79,-0.0044,-0.0027,+0.0641,-0.0027,0.0000,0.2008,0.0000,pid
60,69.90,-0.0033,-0.0033,+0.0531,-0.0033,0.0000,0.2004,0.0000,pid
61,70.23,-0.0037,-0.0011,+0.0281,-0.0011,0.0000,0.0000,0.0000,pid
62,69.84,-0.0031,-0.0059,+0.0516,-0.0059,0.0000,0.2006,0.0000,pid
63,69.87,-0.0058,-0.0046,+0.0563,-0.0046,0.0000,0.2005,0.0000,pid
64,69.93,-0.0051,+0.0035,-0.0078,+0.0035,0.0000,0.2002,0.0000,pid
65,69.94,+0.0008,-0.0071,+0.0375,-0.0071,0.0000,0.2002,0.0000,pid
66,70.40,-0.0064,-0.0076,+0.0719,-0.0076,0.0000,0.0000,0.0000,pid
67,69.90,-0.0063,-0.0066,+0.0859,-0.0066,0.0000,0.2003,0.0000,pid
68,70.13,-0.0048,-0.0071,+0.1000,-0.0071,0.0000,0.0000,0.0000,pid
69,69.55,-0.0056,-0.0079,+0.1156,-0.0079,0.0000,0.2016,0.0000,pid
70,69.82,-0.0041,-0.0081,+0.1281,-0.0081,0.0000,0.2006,0.0000,pid
71,70.02,-0.0051,-0.0099,+0.1516,-0.0099,0.0000,0.0000,0.0000,pid
72,69.58,-0.0084,-0.0081,+0.1516,-0.0081,0.0000,0.2015,0.0000,pid
73,69.78,-0.0064,-0.0047,+0.1234,-0.0047,0.0000,0.2008,0.0000,pid
74,69.96,-0.0043,-0.0043,+0.1016,-0.0043,0.0000,0.2002,0.0000,pid
75,70.29,-0.0036,-0.0038,+0.0828,-0.0038,0.0000,0.0000,0.0000,pid
76,69.87,-0.0045,-0.0091,+0.1141,-0.0091,0.0000,0.2005,0.0000,pid
77,69.96,-0.0066,-0.0068,+0.1156,-0.0068,0.0000,0.2001,0.0000,pid
78,70.25,-0.0063,-0.0017,+0.0750,-0.0017,0.0000,0.0000,0.0000,pid
79,69.79,-0.0036,+0.0012,+0.0234,+0.0012,0.0000,0.2007,0.0000,pid
80,69.94,-0.0012,-0.0048,+0.0391,-0.0048,0.0000,0.2002,0.0000,pid
81,69.77,-0.0049,-0.0073,+0.0703,-0.0073,0.0000,0.2008,0.0000,pid
82,69.84,-0.0073,+0.0050,-0.0109,+0.0050,0.0000,0.2006,0.0000,pid
83,70.22,-0.0003,-0.0015,-0.0109,-0.0015,0.0000,0.0000,0.0000,pid
84,69.96,-0.0038,-0.0243,+0.1781,-0.0243,0.0000,0.2002,0.0000,pid
