frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0009,+0.0020,-0.0484,+0.0016,0.0546,0.4800,0.0437,pid
1,0.01,+0.0040,+0.0012,-0.0406,+0.0013,0.0027,0.5759,0.0109,pid
2,0.02,+0.0024,+0.0101,-0.1078,+0.0083,0.0015,0.5950,0.0033,pid
3,0.02,+0.0067,-0.0058,-0.0203,-0.0029,0.0014,0.5988,0.0018,pid
4,0.02,-0.0006,+0.0163,-0.1437,+0.0125,0.0015,0.5995,0.0016,pid
5,0.00,+0.0099,+0.0028,-0.1109,+0.0047,0.0017,0.5999,0.0017,pid
6,0.00,+0.0049,+0.0024,-0.0844,+0.0028,0.0014,0.6000,0.0014,pid
7,0.00,+0.0042,+0.0085,-0.1156,+0.0073,0.0014,0.6000,0.0014,pid
8,0.00,+0.0066,+0.0030,-0.0891,+0.0038,0.0014,0.6000,0.0014,pid
9,0.00,+0.0043,+0.0051,-0.0875,+0.0048,0.0013,0.6000,0.0013,pid
10,0.00,+0.0053,+0.0061,-0.0938,+0.0059,0.0013,0.6000,0.0013,pid
11,0.00,+0.0059,+0.0007,-0.0516,+0.0017,0.0015,0.6000,0.0015,pid
12,0.00,+0.0041,+0.0136,-0.1313,+0.0112,0.0015,0.6000,0.0015,pid
13,0.00,+0.0097,-0.0012,-0.0609,+0.0013,0.0017,0.6000,0.0017,pid
14,0.00,+0.0034,+0.0104,-0.1109,+0.0086,0.0014,0.6000,0.0014,pid
15,0.00,+0.0071,+0.0081,-0.1250,+0.0082,0.0015,0.6000,0.0015,pid
16,0.00,+0.0070,+0.0070,-0.1250,+0.0072,0.0012,0.6000,0.0013,pid
17,0.00,+0.0062,+0.0047,-0.1062,+0.0052,0.0013,0.6000,0.0013,pid
18,0.00,+0.0059,+0.0113,-0.1484,+0.0101,0.0015,0.6000,0.0014,pid
19,0.00,+0.0080,-0.0035,-0.0531,-0.0008,0.0013,0.6000,0.0013,pid
20,0.00,+0.0017,+0.0081,-0.0859,+0.0063,0.0016,0.6000,0.0015,pid
21,0.00,+0.0062,+0.0041,-0.0750,+0.0046,0.0015,0.6000,0.0015,pid
22,0.00,+0.0051,+0.0093,-0.1109,+0.0084,0.0013,0.6000,0.0013,pid
23,0.00,+0.0072,+0.0074,-0.1187,+0.0076,0.0014,0.6000,0.0014,pid
24,0.00,+0.0063,+0.0026,-0.0844,+0.0036,0.0014,0.6000,0.0014,pid
25,0.00,+0.0048,+0.0076,-0.1031,+0.0068,0.0014,0.6000,0.0014,pid
26,0.00,+0.0068,+0.0097,-0.1328,+0.0091,0.0014,0.6000,0.0014,pid
27,0.00,+0.0072,+0.0036,-0.1016,+0.0047,0.0014,0.6000,0.0014,pid
28,0.00,+0.0058,-0.0037,-0.0203,-0.0020,0.0013,0.6000,0.0013,pid
29,0.00,+0.0007,+0.0141,-0.1141,+0.0108,0.0014,0.6000,0.0014,pid
30,0.00,+0.0092,+0.0019,-0.0750,+0.0037,0.0017,0.6000,0.0017,pid
31,0.00,+0.0048,+0.0065,-0.0875,+0.0059,0.0013,0.6000,0.0014,pid
32,0.00,+0.0056,+0.0057,-0.0891,+0.0057,0.0013,0.6000,0.0013,pid
33,0.00,+0.0059,+0.0048,-0.0828,+0.0050,0.0014,0.6000,0.0014,pid
34,0.00,+0.0060,+0.0049,-0.0797,+0.0049,0.0014,0.6000,0.0014,pid
35,0.00,+0.0056,+0.0067,-0.0922,+0.0063,0.0014,0.6000,0.0014,pid
36,0.00,+0.0058,+0.0072,-0.1047,+0.0070,0.0012,0.6000,0.0012,pid
37,0.00,+0.0059,+0.0120,-0.1531,+0.0110,0.0014,0.6000,0.0013,pid
38,0.00,+0.0087,+0.0066,-0.1406,+0.0075,0.0016,0.6000,0.0015,pid
39,0.00,+0.0060,+0.0101,-0.1609,+0.0096,0.0013,0.6000,0.0014,pid
40,0.00,+0.0073,-0.0026,-0.0688,-0.0002,0.0014,0.6000,0.0014,pid
41,0.00,+0.0027,+0.0117,-0.1266,+0.0093,0.0016,0.6000,0.0016,pid
42,0.00,+0.0083,+0.0027,-0.0906,+0.0041,0.0016,0.6000,0.0016,pid
43,0.00,+0.0045,+0.0002,-0.0453,+0.0010,0.0011,0.6000,0.0012,pid
44,0.00,+0.0029,+0.0107,-0.1031,+0.0088,0.0015,0.6000,0.0014,pid
45,0.00,+0.0080,+0.0050,-0.0938,+0.0058,0.0016,0.6000,0.0016,pid
46,0.00,+0.0059,-0.0004,-0.0422,+0.0008,0.0010,0.6000,0.0011,pid
47,0.00,+0.0029,+0.0118,-0.1094,+0.0096,0.0012,0.6000,0.0012,pid
48,0.00,+0.0073,+0.0118,-0.1547,+0.0114,0.0015,0.6000,0.0014,pid
49,0.00,+0.0086,-0.0019,-0.0703,+0.0007,0.0015,0.6000,0.0015,pid
50,0.00,+0.0028,+0.0018,-0.0453,+0.0016,0.0016,0.6000,0.0015,pid
51,0.00,+0.0037,+0.0128,-0.1203,+0.0106,0.0014,0.6000,0.0015,pid
52,0.00,+0.0088,+0.0064,-0.1172,+0.0073,0.0015,0.6000,0.0015,pid
53,0.00,+0.0063,-0.0001,-0.0609,+0.0014,0.0014,0.6000,0.0014,pid
54,0.00,+0.0034,+0.0114,-0.1187,+0.0094,0.0013,0.6000,0.0013,pid
55,0.00,+0.0088,-0.0002,-0.0609,+0.0017,0.0015,0.6000,0.0015,pid
56,0.00,+0.0036,+0.0116,-0.1203,+0.0096,0.0013,0.6000,0.0013,pid
57,0.00,+0.0083,+0.0023,-0.0828,+0.0038,0.0015,0.6000,0.0014,pid
58,0.00,+0.0048,+0.0070,-0.0969,+0.0064,0.0014,0.6000,0.0014,pid
59,0.00,+0.0060,+0.0078,-0.1125,+0.0075,0.0015,0.6000,0.0015,pid
