frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0010,+0.0016,-0.0391,+0.0016,0.0540,0.0000,0.0540,pid
1,0.00,+0.0011,+0.0031,-0.0500,+0.0031,0.0577,0.0000,0.0577,pid
2,0.00,+0.0024,+0.0011,-0.0406,+0.0011,0.0573,0.0000,0.0573,pid
3,0.00,+0.0009,+0.0008,-0.0312,+0.0008,0.0603,0.0000,0.0603,pid
4,0.00,+0.0006,+0.0033,-0.0453,+0.0033,0.0592,0.0000,0.0592,pid
5,0.00,+0.0026,+0.0016,-0.0391,+0.0016,0.0576,0.0000,0.0576,pid
6,0.00,+0.0010,+0.0038,-0.0531,+0.0038,0.0581,0.0000,0.0581,pid
7,0.00,+0.0030,+0.0017,-0.0437,+0.0017,0.0572,0.0000,0.0572,pid
8,0.00,+0.0009,+0.0023,-0.0422,+0.0023,0.0575,0.0000,0.0575,pid
9,0.00,+0.0017,+0.0024,-0.0406,+0.0024,0.0575,0.0000,0.0575,pid
10,0.00,+0.0021,+0.0026,-0.0406,+0.0026,0.0578,0.0000,0.0578,pid
11,0.00,+0.0019,+0.0028,-0.0422,+0.0028,0.0579,0.0000,0.0579,pid
12,0.00,+0.0021,+0.0034,-0.0469,+0.0034,0.0578,0.0000,0.0578,pid
13,0.00,+0.0026,+0.0023,-0.0406,+0.0023,0.0420,0.0000,0.0420,pid
14,0.00,+0.0019,+0.0035,-0.0453,+0.0035,0.0537,0.0000,0.0537,pid
15,0.00,+0.0028,+0.0034,-0.0469,+0.0034,0.0556,0.0000,0.0556,pid
16,0.00,+0.0029,+0.0020,-0.0359,+0.0020,0.0580,0.0000,0.0580,pid
17,0.00,+0.0015,+0.0045,-0.0484,+0.0045,0.0590,0.0000,0.0590,pid
18,0.00,+0.0035,+0.0030,-0.0437,+0.0030,0.0554,0.0000,0.0554,pid
19,0.00,+0.0025,+0.0029,-0.0391,+0.0029,0.0575,0.0000,0.0575,pid
20,0.00,+0.0025,+0.0035,-0.0406,+0.0035,0.0571,0.0000,0.0571,pid
21,0.00,+0.0027,+0.0035,-0.0406,+0.0035,0.0589,0.0000,0.0589,pid
22,0.00,+0.0029,+0.0032,-0.0375,+0.0032,0.0569,0.0000,0.0569,pid
23,0.00,+0.0027,+0.0052,-0.0516,+0.0052,0.0569,0.0000,0.0569,pid
24,0.00,+0.0042,+0.0031,-0.0437,+0.0031,0.0564,0.0000,0.0564,pid
25,0.00,+0.0028,+0.0036,-0.0422,+0.0036,0.0561,0.0000,0.0561,pid
26,0.00,+0.0028,+0.0029,-0.0359,+0.0029,0.0564,0.0000,0.0564,pid
27,0.00,+0.0035,+0.0036,-0.0375,+0.0036,0.0392,0.0000,0.0392,pid
28,0.00,+0.0022,-0.0088,+0.0641,-0.0088,0.0272,0.0000,0.0272,pid
29,0.00,-0.0097,-0.0016,+0.0703,-0.0016,0.0307,0.0000,0.0307,pid
30,0.00,-0.0004,-0.0027,+0.0828,-0.0027,0.0295,0.0000,0.0295,pid
31,0.00,-0.0038,+0.0128,-0.0375,+0.0128,0.0441,0.0000,0.0441,pid
32,0.00,+0.0112,+0.0053,-0.0547,+0.0053,0.0411,0.0000,0.0411,pid
33,0.00,+0.0043,+0.0042,-0.0563,+0.0042,0.0456,0.0000,0.0456,pid
34,0.00,+0.0048,+0.0031,-0.0469,+0.0031,0.0450,0.0000,0.0450,pid
35,0.00,+0.0027,+0.0026,-0.0359,+0.0026,0.0485,0.0000,0.0485,pid
36,0.00,+0.0054,+0.0042,-0.0422,+0.0042,0.0479,0.0000,0.0479,pid
37,0.00,+0.0051,+0.0035,-0.0406,+0.0035,0.0459,0.0000,0.0459,pid
38,0.00,+0.0045,+0.0040,-0.0437,+0.0040,0.0462,0.0000,0.0462,pid
39,0.00,+0.0050,+0.0037,-0.0437,+0.0037,0.0441,0.0000,0.0441,pid
40,0.00,+0.0055,+0.0032,-0.0391,+0.0032,0.0449,0.0000,0.0449,pid
41,0.00,+0.0046,+0.0026,-0.0312,+0.0026,0.0463,0.0000,0.0463,pid
42,0.00,+0.0043,+0.0038,-0.0359,+0.0038,0.0433,0.0000,0.0433,pid
43,0.00,+0.0056,+0.0046,-0.0453,+0.0046,0.0458,0.0000,0.0458,pid
44,0.00,+0.0058,+0.0044,-0.0500,+0.0044,0.0472,0.0000,0.0472,pid
45,0.00,+0.0064,+0.0019,-0.0328,+0.0019,0.0458,0.0000,0.0458,pid
46,0.00,+0.0043,+0.0043,-0.0406,+0.0043,0.0411,0.0000,0.0411,pid
47,0.00,+0.0056,+0.0034,-0.0391,+0.0034,0.0453,0.0000,0.0453,pid
48,0.00,+0.0050,+0.0047,-0.0484,+0.0047,0.0458,0.0000,0.0458,pid
49,0.01,+0.0061,+0.0039,-0.0484,+0.0039,0.0446,0.0000,0.0446,pid
50,0.03,+0.0055,+0.0028,-0.0391,+0.0028,0.0460,0.0000,0.0460,pid
51,0.01,+0.0045,+0.0041,-0.0437,+0.0041,0.0332,0.0000,0.0332,pid
52,0.00,+0.0057,+0.0026,-0.0344,+0.0026,0.0431,0.0000,0.0431,pid
53,0.00,+0.0046,+0.0039,-0.0391,+0.0039,0.0450,0.0000,0.0450,pid
54,0.58,-0.0003,+0.0032,-0.0359,+0.0032,0.0703,0.0000,0.0703,pid
55,0.79,-0.0014,+0.0018,-0.0219,+0.0018,0.0713,0.0000,0.0713,pid
56,1.00,-0.0014,+0.0036,-0.0281,+0.0036,0.0833,0.0000,0.0833,pid
57,1.40,+0.0006,+0.0016,-0.0156,+0.0016,0.0930,0.0000,0.0930,pid
58,1.60,+0.0001,+0.0013,-0.0047,+0.0013,0.0999,0.0000,0.0999,pid
59,1.95,+0.0017,+0.0033,-0.0141,+0.0033,0.0945,0.0000,0.0945,pid
60,2.03,+0.0028,+0.0033,-0.0203,+0.0033,0.0944,0.0000,0.0944,pid
61,2.15,+0.0030,+0.0019,-0.0125,+0.0019,0.0959,0.0000,0.0959,pid
62,2.12,+0.0034,+0.0029,-0.0156,+0.0029,0.0967,0.0000,0.0967,pid
63,2.44,+0.0044,+0.0032,-0.0203,+0.0032,0.0643,0.0000,0.0643,pid
64,2.60,+0.0034,-0.0069,+0.0594,-0.0069,0.0462,0.0000,0.0462,pid
65,3.27,+0.0008,-0.0088,+0.1266,-0.0088,0.0378,0.0000,0.0378,pid
66,3.87,+0.0033,-0.0037,+0.1266,-0.0037,0.0332,0.0000,0.0332,pid
67,4.45,+0.0020,+0.0123,-0.0063,+0.0123,0.0560,0.0000,0.0560,pid
68,4.66,+0.0061,+0.0016,-0.0063,+0.0016,0.0677,0.0000,0.0677,pid
69,4.86,+0.0053,+0.0032,-0.0187,+0.0032,0.0753,0.0000,0.0753,pid
70,4.72,+0.0052,+0.0007,-0.0063,+0.0007,0.0862,0.0000,0.0862,pid
71,4.41,+0.0040,-0.0212,+0.1812,-0.0212,0.0783,0.0000,0.0783,pid
72,4.35,-0.0043,+0.0139,+0.0141,+0.0139,0.0838,0.0000,0.0838,pid
73,4.41,+0.0066,-0.0195,+0.1781,-0.0195,0.0913,0.0000,0.0913,pid
74,4.06,-0.0043,-0.0033,+0.1500,-0.0033,0.0988,0.0000,0.0988,pid
75,3.90,+0.0015,-0.0059,+0.1500,-0.0059,0.0906,0.0000,0.0906,pid
76,3.56,+0.0025,-0.0043,+0.1344,-0.0043,0.0956,0.0000,0.0956,pid
77,3.70,+0.0020,+0.0060,+0.0375,+0.0060,0.0927,0.0000,0.0927,pid
78,3.36,+0.0059,-0.0005,+0.0266,-0.0005,0.0824,0.0000,0.0824,pid
79,3.47,+0.0041,-0.0003,+0.0172,-0.0003,0.0763,0.0000,0.0763,pid
80,3.57,+0.0042,-0.0010,+0.0172,-0.0010,0.0809,0.0000,0.0809,pid
81,3.67,+0.0042,+0.0012,-0.0016,+0.0012,0.0781,0.0000,0.0781,pid
82,3.65,+0.0054,-0.0020,+0.0125,-0.0020,0.0787,0.0000,0.0787,pid
83,3.84,+0.0043,-0.0026,+0.0266,-0.0026,0.0791,0.0000,0.0791,pid
84,3.96,+0.0037,-0.0017,+0.0281,-0.0017,0.0886,0.0000,0.0886,pid
85,3.70,+0.0052,-0.0030,+0.0391,-0.0030,0.0766,0.0000,0.0766,pid
86,3.80,+0.0037,-0.0005,+0.0250,-0.0005,0.0859,0.0000,0.0859,pid
87,3.91,+0.0047,-0.0047,+0.0500,-0.0047,0.0799,0.0000,0.0799,pid
88,3.81,+0.0038,-0.0015,+0.0391,-0.0015,0.0859,0.0000,0.0859,pid
89,3.66,+0.0049,-0.0042,+0.0531,-0.0042,0.0845,0.0000,0.0845,pid
90,3.67,+0.0043,-0.0041,+0.0609,-0.0041,0.0830,0.0000,0.0830,pid
91,3.63,+0.0046,-0.0063,+0.0828,-0.0063,0.0825,0.0000,0.0825,pid
92,3.80,+0.0040,-0.0051,+0.0859,-0.0051,0.0833,0.0000,0.0833,pid
93,3.73,+0.0036,-0.0015,+0.0578,-0.0015,0.0794,0.0000,0.0794,pid
94,3.77,+0.0054,-0.0064,+0.0781,-0.0064,0.0833,0.0000,0.0833,pid
95,3.67,+0.0033,-0.0055,+0.0828,-0.0055,0.0914,0.0000,0.0914,pid
96,3.56,+0.0049,-0.0032,+0.0656,-0.0032,0.0859,0.0000,0.0859,pid
97,3.65,+0.0056,-0.0082,+0.0953,-0.0082,0.0863,0.0000,0.0863,pid
98,3.54,+0.0031,-0.0039,+0.0797,-0.0039,0.0944,0.0000,0.0944,pid
99,3.48,+0.0045,-0.0054,+0.0813,-0.0054,0.0879,0.0000,0.0879,pid
100,3.37,+0.0037,-0.0064,+0.0906,-0.0064,0.0807,0.0000,0.0807,pid
101,3.36,+0.0031,-0.0051,+0.0859,-0.0051,0.0882,0.0000,0.0882,pid
102,3.33,+0.0035,-0.0083,+0.1094,-0.0083,0.0942,0.0000,0.0942,pid
103,3.37,+0.0028,-0.0069,+0.1141,-0.0069,0.0957,0.0000,0.0957,pid
104,3.28,+0.0028,-0.0071,+0.1187,-0.0071,0.0959,0.0000,0.0959,pid
105,3.16,+0.0021,-0.0053,+0.1062,-0.0053,0.0981,0.0000,0.0981,pid
106,3.00,+0.0023,-0.0068,+0.1109,-0.0068,0.0951,0.0000,0.0951,pid
107,2.93,+0.0012,-0.0057,+0.1047,-0.0057,0.0986,0.0000,0.0986,pid
108,2.87,+0.0020,-0.0069,+0.1109,-0.0069,0.0974,0.0000,0.0974,pid
109,2.85,+0.0006,-0.0061,+0.1078,-0.0061,0.0973,0.0000,0.0973,pid
110,2.73,+0.0007,-0.0057,+0.1031,-0.0057,0.0744,0.0000,0.0744,pid
111,2.88,+0.0029,-0.0088,+0.1250,-0.0088,0.0662,0.0000,0.0662,pid
112,3.25,+0.0017,-0.0046,+0.1047,-0.0046,0.0908,0.0000,0.0908,pid
113,3.33,+0.0039,-0.0075,+0.1156,-0.0075,0.0897,0.0000,0.0897,pid
114,3.41,+0.0023,-0.0079,+0.1266,-0.0079,0.0725,0.0000,0.0725,pid
115,3.53,+0.0028,-0.0067,+0.1234,-0.0067,0.0740,0.0000,0.0740,pid
116,3.73,+0.0034,-0.0067,+0.1219,-0.0067,0.0634,0.0000,0.0634,pid
117,3.89,+0.0043,-0.0084,+0.1344,-0.0084,0.0681,0.0000,0.0681,pid
118,3.97,+0.0030,-0.0066,+0.1281,-0.0066,0.0732,0.0000,0.0732,pid
