frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0003,+0.0058,-0.1391,+0.0047,0.0554,0.4800,0.0443,pid
1,0.00,+0.0064,+0.0010,-0.0969,+0.0017,0.0024,0.5760,0.0108,pid
2,0.02,+0.0032,+0.0043,-0.0953,+0.0038,0.0016,0.5950,0.0034,pid
3,0.02,+0.0049,+0.0049,-0.0969,+0.0046,0.0013,0.5988,0.0017,pid
4,0.02,+0.0050,+0.0053,-0.1000,+0.0052,0.0012,0.5996,0.0013,pid
5,0.00,+0.0056,+0.0014,-0.0688,+0.0022,0.0013,0.5999,0.0013,pid
6,0.00,+0.0038,+0.0136,-0.1469,+0.0113,0.0014,0.6000,0.0014,pid
7,0.00,+0.0096,+0.0077,-0.1469,+0.0084,0.0017,0.6000,0.0016,pid
8,0.00,+0.0073,+0.0028,-0.1047,+0.0039,0.0016,0.6000,0.0016,pid
9,0.00,+0.0049,-0.0026,-0.0312,-0.0013,0.0014,0.6000,0.0014,pid
10,0.00,+0.0013,+0.0119,-0.1031,+0.0092,0.0016,0.6000,0.0016,pid
11,0.00,+0.0080,+0.0093,-0.1297,+0.0093,0.0016,0.6000,0.0016,pid
12,0.00,+0.0081,-0.0093,+0.0078,-0.0056,0.0016,0.6000,0.0016,pid
13,0.00,-0.0014,+0.0159,-0.1109,+0.0116,0.0018,0.6000,0.0018,pid
14,0.00,+0.0102,+0.0006,-0.0625,+0.0028,0.0018,0.6000,0.0018,pid
15,0.00,+0.0041,+0.0092,-0.1016,+0.0079,0.0011,0.6000,0.0012,pid
16,0.00,+0.0068,+0.0034,-0.0797,+0.0043,0.0016,0.6000,0.0015,pid
17,0.00,+0.0052,+0.0037,-0.0672,+0.0038,0.0012,0.6000,0.0013,pid
18,0.00,+0.0042,+0.0054,-0.0734,+0.0051,0.0011,0.6000,0.0012,pid
19,0.00,+0.0051,+0.0104,-0.1187,+0.0093,0.0013,0.6000,0.0013,pid
20,0.00,+0.0087,+0.0077,-0.1266,+0.0080,0.0016,0.6000,0.0016,pid
21,0.00,+0.0066,+0.0104,-0.1547,+0.0100,0.0014,0.6000,0.0015,pid
22,0.00,+0.0083,+0.0027,-0.1094,+0.0042,0.0016,0.6000,0.0016,pid
23,0.00,+0.0052,+0.0022,-0.0750,+0.0026,0.0014,0.6000,0.0014,pid
24,0.00,+0.0041,+0.0014,-0.0453,+0.0017,0.0015,0.6000,0.0014,pid
25,0.00,+0.0037,+0.0107,-0.1031,+0.0089,0.0015,0.6000,0.0015,pid
26,0.00,+0.0079,+0.0101,-0.1359,+0.0098,0.0016,0.6000,0.0016,pid
27,0.00,+0.0083,+0.0018,-0.0891,+0.0034,0.0016,0.6000,0.0016,pid
28,0.00,+0.0050,+0.0063,-0.0953,+0.0057,0.0014,0.6000,0.0015,pid
