frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.00,-0.0031,-0.0015,0.0165,0.3000,0.0082
1,0.03,-0.0005,-0.0010,0.0034,0.4499,0.0058
2,0.00,+0.0024,+0.0007,0.0013,0.5249,0.0035
3,0.01,+0.0040,+0.0024,0.0009,0.5624,0.0022
4,0.01,+0.0051,+0.0037,0.0008,0.5812,0.0015
5,0.01,+0.0060,+0.0048,0.0008,0.5906,0.0012
6,0.00,+0.0069,+0.0059,0.0007,0.5953,0.0009
7,0.00,+0.0072,+0.0065,0.0007,0.5976,0.0008
8,0.00,+0.0071,+0.0068,0.0006,0.5988,0.0007
9,0.00,+0.0074,+0.0071,0.0006,0.5994,0.0007
10,0.00,+0.0076,+0.0074,0.0006,0.5997,0.0007
11,0.00,+0.0078,+0.0076,0.0007,0.5999,0.0007
12,0.00,+0.0079,+0.0077,0.0007,0.5999,0.0007
13,0.00,+0.0079,+0.0078,0.0007,0.6000,0.0007
14,0.00,+0.0078,+0.0078,0.0006,0.6000,0.0007
15,0.00,+0.0080,+0.0079,0.0007,0.6000,0.0007
16,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
17,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
18,0.00,+0.0079,+0.0080,0.0006,0.6000,0.0006
19,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
20,0.00,+0.0080,+0.0080,0.0006,0.6000,0.0006
21,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
22,0.00,+0.0081,+0.0080,0.0007,0.6000,0.0007
23,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
24,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
25,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
26,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
27,0.00,+0.0080,+0.0080,0.0006,0.6000,0.0007
28,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
29,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
30,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
31,0.00,+0.0080,+0.0080,0.0006,0.6000,0.0006
32,0.00,+0.0080,+0.0080,0.0006,0.6000,0.0006
33,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
34,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
35,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
36,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
37,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
38,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
39,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
40,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
41,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
42,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
43,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
44,0.00,+0.0078,+0.0078,0.0006,0.6000,0.0007
45,0.00,+0.0078,+0.0078,0.0006,0.6000,0.0006
46,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0006
47,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
48,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
49,0.00,+0.0080,+0.0079,0.0007,0.6000,0.0007
50,0.00,+0.0080,+0.0079,0.0007,0.6000,0.0007
51,0.00,+0.0081,+0.0080,0.0006,0.6000,0.0006
52,0.00,+0.0080,+0.0080,0.0006,0.6000,0.0006
53,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0006
54,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
55,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
56,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
57,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0007
58,0.00,+0.0080,+0.0079,0.0007,0.6000,0.0007
59,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
60,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
61,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
62,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
63,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
64,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
65,0.00,+0.0077,+0.0078,0.0007,0.6000,0.0007
66,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
67,0.00,+0.0077,+0.0077,0.0007,0.6000,0.0007
68,0.00,+0.0076,+0.0077,0.0007,0.6000,0.0007
69,0.00,+0.0076,+0.0077,0.0007,0.6000,0.0007
70,0.00,+0.0080,+0.0078,0.0007,0.6000,0.0007
71,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
72,0.00,+0.0077,+0.0077,0.0007,0.6000,0.0007
73,0.00,+0.0077,+0.0077,0.0007,0.6000,0.0007
74,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
75,0.00,+0.0079,+0.0078,0.0007,0.6000,0.0007
76,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
77,16.08,+0.0003,+0.0041,0.0016,0.5465,0.0011
78,17.68,-0.0005,+0.0018,0.0024,0.5151,0.0018
79,10.32,-0.0020,-0.0001,0.0018,0.5216,0.0018
80,12.31,-0.0038,-0.0019,0.0026,0.5186,0.0022
81,15.67,-0.0045,-0.0032,0.0028,0.5069,0.0025
82,19.90,-0.0044,-0.0038,0.0032,0.4891,0.0029
83,23.86,-0.0043,-0.0041,0.0039,0.4694,0.0034
84,27.75,-0.0033,-0.0037,0.0040,0.4497,0.0037
85,30.71,-0.0029,-0.0033,0.0043,0.4326,0.0040
86,33.60,-0.0015,-0.0024,0.0044,0.4171,0.0042
87,36.36,-0.0008,-0.0016,0.0046,0.4031,0.0044
88,38.52,-0.0009,-0.0012,0.0046,0.3913,0.0045
89,40.68,-0.0006,-0.0009,0.0048,0.3807,0.0047
90,42.65,-0.0015,-0.0012,0.0054,0.3712,0.0051
91,44.06,-0.0018,-0.0015,0.0059,0.3635,0.0055
92,45.49,-0.0010,-0.0013,0.0064,0.3567,0.0059
93,46.70,-0.0008,-0.0010,0.0063,0.3509,0.0061
94,47.64,-0.0011,-0.0011,0.0058,0.3461,0.0059
95,48.86,-0.0004,-0.0007,0.0057,0.3412,0.0058
96,49.95,+0.0001,-0.0003,0.0061,0.3367,0.0059
97,50.61,-0.0000,-0.0002,0.0061,0.3331,0.0060
98,50.85,-0.0010,-0.0006,0.0070,0.3309,0.0065
99,50.96,-0.0008,-0.0007,0.0069,0.3295,0.0067
100,50.88,-0.0002,-0.0004,0.0066,0.3290,0.0067
101,50.68,+0.0001,-0.0002,0.0067,0.3292,0.0067
102,50.87,-0.0001,-0.0001,0.0070,0.3288,0.0068
103,50.74,+0.0007,+0.0003,0.0068,0.3289,0.0068
104,50.88,+0.0004,+0.0003,0.0062,0.3287,0.0065
105,50.76,+0.0001,+0.0002,0.0062,0.3288,0.0064
106,50.75,+0.0008,+0.0005,0.0064,0.3289,0.0064
107,50.76,+0.0007,+0.0006,0.0062,0.3290,0.0063
108,50.97,+0.0013,+0.0010,0.0062,0.3285,0.0062
109,50.86,+0.0021,+0.0015,0.0060,0.3286,0.0061
110,50.86,+0.0023,+0.0019,0.0056,0.3286,0.0059
111,50.72,+0.0026,+0.0022,0.0057,0.3288,0.0058
112,50.92,+0.0016,+0.0019,0.0066,0.3286,0.0062
113,50.94,+0.0025,+0.0022,0.0065,0.3284,0.0063
114,51.03,+0.0032,+0.0027,0.0059,0.3282,0.0061
115,51.01,+0.0038,+0.0033,0.0058,0.3281,0.0059
116,50.69,+0.0021,+0.0027,0.0060,0.3287,0.0060
117,50.83,+0.0008,+0.0017,0.0075,0.3287,0.0067
118,50.81,+0.0005,+0.0011,0.0097,0.3287,0.0082
119,50.56,+0.0021,+0.0016,0.0094,0.3292,0.0088
120,50.90,+0.0014,+0.0015,0.0088,0.3288,0.0088
121,50.78,+0.0011,+0.0013,0.0089,0.3289,0.0089
122,50.69,+0.0010,+0.0012,0.0089,0.3290,0.0089
123,50.87,+0.0010,+0.0011,0.0086,0.3288,0.0088
124,50.77,+0.0010,+0.0010,0.0082,0.3289,0.0085
125,50.73,+0.0008,+0.0009,0.0082,0.3290,0.0083
126,50.82,+0.0007,+0.0008,0.0082,0.3289,0.0083
127,50.81,+0.0007,+0.0007,0.0082,0.3288,0.0082
128,50.81,+0.0006,+0.0007,0.0077,0.3288,0.0080
129,51.01,+0.0006,+0.0006,0.0070,0.3284,0.0075
130,50.96,-0.0000,+0.0003,0.0071,0.3283,0.0073
131,50.76,+0.0000,+0.0002,0.0062,0.3286,0.0067
132,50.75,-0.0001,+0.0000,0.0065,0.3288,0.0066
133,50.78,-0.0005,-0.0002,0.0060,0.3289,0.0063
134,50.83,-0.0008,-0.0005,0.0068,0.3288,0.0066
135,50.84,-0.0009,-0.0007,0.0066,0.3287,0.0066
136,50.79,-0.0009,-0.0008,0.0069,0.3288,0.0067
137,50.85,-0.0009,-0.0008,0.0067,0.3287,0.0067
138,50.98,-0.0012,-0.0010,0.0067,0.3284,0.0067
139,50.83,-0.0015,-0.0012,0.0065,0.3285,0.0066
140,50.80,-0.0020,-0.0016,0.0063,0.3287,0.0065
141,50.82,-0.0028,-0.0022,0.0064,0.3287,0.0064
142,50.77,-0.0025,-0.0024,0.0068,0.3288,0.0066
143,50.95,-0.0025,-0.0024,0.0065,0.3285,0.0066
144,51.01,-0.0028,-0.0026,0.0069,0.3283,0.0067
145,50.88,-0.0025,-0.0025,0.0068,0.3284,0.0068
146,50.71,-0.0033,-0.0029,0.0070,0.3288,0.0069
147,50.78,-0.0038,-0.0034,0.0068,0.3288,0.0068
148,50.73,-0.0028,-0.0031,0.0069,0.3290,0.0069
149,50.88,-0.0028,-0.0029,0.0068,0.3287,0.0068
150,51.01,-0.0033,-0.0031,0.0073,0.3284,0.0070
151,50.77,-0.0028,-0.0029,0.0074,0.3286,0.0072
152,50.87,-0.0031,-0.0030,0.0074,0.3286,0.0073
153,50.68,-0.0029,-0.0030,0.0073,0.3289,0.0073
154,50.70,-0.0028,-0.0029,0.0076,0.3291,0.0074
155,50.95,-0.0020,-0.0024,0.0076,0.3287,0.0075
156,50.80,-0.0018,-0.0021,0.0072,0.3287,0.0074
157,50.77,-0.0021,-0.0021,0.0073,0.3288,0.0073
158,50.74,-0.0019,-0.0020,0.0071,0.3289,0.0072
159,50.75,-0.0020,-0.0020,0.0073,0.3290,0.0072
