frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0013,+0.0018,-0.0422,+0.0018,0.0546,0.0000,0.0546,pid
1,0.00,+0.0012,+0.0019,-0.0422,+0.0019,0.0556,0.0000,0.0556,pid
2,0.00,+0.0017,+0.0023,-0.0453,+0.0023,0.0571,0.0000,0.0571,pid
3,0.00,+0.0016,+0.0006,-0.0328,+0.0006,0.0419,0.0000,0.0419,pid
4,0.00,-0.0000,+0.0025,-0.0391,+0.0025,0.0546,0.0000,0.0546,pid
5,0.00,+0.0017,+0.0013,-0.0328,+0.0013,0.0582,0.0000,0.0582,pid
6,0.00,+0.0007,+0.0034,-0.0453,+0.0034,0.0422,0.0000,0.0422,pid
7,0.00,+0.0025,+0.0013,-0.0359,+0.0013,0.0537,0.0000,0.0537,pid
8,0.00,+0.0009,+0.0029,-0.0422,+0.0029,0.0577,0.0000,0.0577,pid
9,0.00,+0.0020,+0.0023,-0.0406,+0.0023,0.0576,0.0000,0.0576,pid
10,0.00,+0.0014,+0.0035,-0.0484,+0.0035,0.0561,0.0000,0.0561,pid
11,0.00,+0.0027,+0.0020,-0.0406,+0.0020,0.0564,0.0000,0.0564,pid
12,0.00,+0.0015,+0.0023,-0.0375,+0.0023,0.0569,0.0000,0.0569,pid
13,0.00,+0.0018,+0.0036,-0.0453,+0.0036,0.0577,0.0000,0.0577,pid
14,0.00,+0.0027,+0.0025,-0.0406,+0.0025,0.0555,0.0000,0.0555,pid
15,0.00,+0.0019,+0.0029,-0.0406,+0.0029,0.0566,0.0000,0.0566,pid
16,0.00,+0.0023,+0.0022,-0.0344,+0.0022,0.0562,0.0000,0.0562,pid
17,0.00,+0.0017,+0.0038,-0.0422,+0.0038,0.0582,0.0000,0.0582,pid
18,0.00,+0.0033,+0.0028,-0.0391,+0.0028,0.0565,0.0000,0.0565,pid
19,0.00,+0.0019,+0.0036,-0.0422,+0.0036,0.0570,0.0000,0.0570,pid
20,0.00,+0.0028,+0.0036,-0.0437,+0.0036,0.0551,0.0000,0.0551,pid
21,0.00,+0.0028,+0.0035,-0.0437,+0.0035,0.0566,0.0000,0.0566,pid
22,0.00,+0.0029,+0.0031,-0.0391,+0.0031,0.0568,0.0000,0.0568,pid
23,0.00,+0.0020,-0.0007,-0.0047,-0.0007,0.0349,0.0000,0.0349,pid
24,0.00,-0.0015,-0.0080,+0.0781,-0.0080,0.0319,0.0000,0.0319,pid
25,0.00,-0.0066,-0.0016,+0.0781,-0.0016,0.0313,0.0000,0.0313,pid
26,0.00,-0.0003,-0.0008,+0.0703,-0.0008,0.0330,0.0000,0.0330,pid
27,0.00,-0.0015,+0.0120,-0.0406,+0.0120,0.0416,0.0000,0.0416,pid
