frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0011,+0.0015,-0.0359,+0.0015,0.0513,0.6000,0.0513,pid
1,0.00,+0.0043,+0.0016,-0.0359,+0.0016,0.0012,0.6000,0.0012,pid
2,0.05,+0.0022,+0.0030,-0.0469,+0.0030,0.0015,0.5994,0.0015,pid
3,0.03,+0.0035,+0.0016,-0.0422,+0.0016,0.0013,0.5996,0.0013,pid
4,0.02,+0.0036,+0.0030,-0.0500,+0.0030,0.0014,0.5997,0.0014,pid
5,0.00,+0.0041,+0.0018,-0.0437,+0.0018,0.0013,0.6000,0.0013,pid
6,0.00,+0.0038,+0.0020,-0.0406,+0.0020,0.0015,0.6000,0.0015,pid
7,0.00,+0.0037,+0.0015,-0.0344,+0.0015,0.0015,0.6000,0.0015,pid
8,0.00,+0.0038,+0.0029,-0.0406,+0.0029,0.0015,0.6000,0.0015,pid
9,0.00,+0.0047,+0.0030,-0.0453,+0.0030,0.0014,0.6000,0.0014,pid
10,0.00,+0.0045,+0.0014,-0.0344,+0.0014,0.0014,0.6000,0.0014,pid
11,0.00,+0.0036,+0.0025,-0.0359,+0.0025,0.0015,0.6000,0.0015,pid
12,0.00,+0.0042,+0.0034,-0.0437,+0.0034,0.0013,0.6000,0.0013,pid
13,0.00,+0.0048,+0.0027,-0.0422,+0.0027,0.0013,0.6000,0.0013,pid
14,0.00,+0.0039,+0.0022,-0.0359,+0.0022,0.0013,0.6000,0.0013,pid
15,0.00,+0.0031,+0.0027,-0.0359,+0.0027,0.0012,0.6000,0.0012,pid
16,0.00,+0.0038,+0.0034,-0.0406,+0.0034,0.0013,0.6000,0.0013,pid
17,11.67,-0.0016,+0.0023,-0.0344,+0.0023,0.0270,0.4651,0.0270,pid
18,6.55,-0.0022,+0.0029,-0.0344,+0.0029,0.0199,0.5188,0.0199,pid
19,9.47,-0.0025,+0.0030,-0.0344,+0.0030,0.0292,0.4873,0.0292,pid
20,12.28,-0.0041,-0.0031,+0.0156,-0.0031,0.0438,0.4592,0.0438,pid
21,14.23,-0.0071,-0.0018,+0.0375,-0.0018,0.0574,0.4408,0.0574,pid
22,17.08,-0.0074,-0.0018,+0.0516,-0.0018,0.0577,0.4153,0.0577,pid
23,20.11,-0.0093,-0.0008,+0.0516,-0.0008,0.0580,0.3899,0.0580,pid
24,23.47,-0.0048,-0.0009,+0.0516,-0.0009,0.0578,0.3634,0.0578,pid
25,26.66,-0.0018,-0.0010,+0.0516,-0.0010,0.0573,0.3398,0.0573,pid
26,28.85,-0.0023,-0.0011,+0.0516,-0.0011,0.0530,0.3245,0.0530,pid
27,30.92,-0.0014,-0.0012,+0.0516,-0.0012,0.0467,0.3104,0.0467,pid
28,32.78,-0.0019,-0.0137,+0.1531,-0.0137,0.0386,0.2982,0.0386,pid
29,34.51,-0.0084,-0.0059,+0.1531,-0.0059,0.0365,0.2872,0.0365,pid
30,36.19,-0.0027,-0.0152,+0.2266,-0.0152,0.0255,0.2768,0.0255,pid
31,37.62,-0.0097,-0.0252,+0.3531,-0.0252,0.0342,0.2681,0.0342,pid
32,38.93,-0.0156,-0.0049,+0.2641,-0.0049,0.0401,0.2603,0.0401,pid
33,40.12,-0.0033,-0.0125,+0.2641,-0.0125,0.0339,0.2534,0.0339,pid
34,41.12,-0.0081,-0.0146,+0.2812,-0.0146,0.0310,0.2476,0.0310,pid
35,42.03,-0.0090,-0.0123,+0.2734,-0.0123,0.0265,0.2425,0.0265,pid
36,42.92,-0.0081,-0.0139,+0.2812,-0.0139,0.0264,0.2375,0.0264,pid
37,43.71,-0.0097,-0.0080,+0.2375,-0.0080,0.0260,0.2331,0.0260,pid
38,44.31,-0.0063,-0.0258,+0.3563,-0.0258,0.0353,0.2299,0.0353,pid
39,44.84,-0.0162,-0.0009,+0.2281,-0.0009,0.0263,0.2270,0.0263,pid
40,45.44,-0.0009,-0.0047,+0.1750,-0.0047,0.0328,0.2237,0.0328,pid
41,45.88,-0.0034,-0.0079,+0.1656,-0.0079,0.0253,0.2214,0.0253,pid
42,46.29,-0.0036,-0.0023,+0.1125,-0.0023,0.0249,0.2192,0.0249,pid
