frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0006,+0.0037,-0.0875,+0.0029,0.0553,0.4800,0.0442,pid
1,0.00,+0.0047,-0.0106,+0.0312,-0.0079,0.0026,0.5760,0.0109,pid
2,0.01,-0.0034,+0.0129,-0.0844,+0.0087,0.0020,0.5950,0.0038,pid
3,0.02,+0.0070,+0.0162,-0.1859,+0.0147,0.0014,0.5988,0.0019,pid
4,0.00,+0.0106,-0.0026,-0.0953,+0.0009,0.0015,0.5998,0.0015,pid
5,0.00,+0.0028,+0.0132,-0.1641,+0.0108,0.0016,0.5999,0.0016,pid
6,0.00,+0.0080,+0.0105,-0.1844,+0.0106,0.0015,0.6000,0.0015,pid
7,0.00,+0.0078,-0.0062,-0.0578,-0.0028,0.0015,0.6000,0.0015,pid
8,0.00,+0.0004,-0.0087,+0.0469,-0.0075,0.0014,0.6000,0.0014,pid
9,0.00,-0.0036,+0.0274,-0.1812,+0.0204,0.0016,0.6000,0.0016,pid
10,0.00,+0.0136,-0.0041,-0.0703,+0.0008,0.0020,0.6000,0.0019,pid
11,0.00,+0.0027,+0.0048,-0.0703,+0.0040,0.0014,0.6000,0.0015,pid
12,0.00,+0.0051,-0.0172,+0.1109,-0.0129,0.0014,0.6000,0.0014,pid
13,0.00,-0.0072,+0.0154,-0.0391,+0.0098,0.0014,0.6000,0.0014,pid
14,0.00,+0.0077,+0.0027,-0.0328,+0.0041,0.0016,0.6000,0.0016,pid
15,0.00,+0.0047,-0.0131,+0.1016,-0.0096,0.0013,0.6000,0.0014,pid
16,0.00,-0.0041,+0.0070,+0.0234,+0.0037,0.0019,0.6000,0.0018,pid
17,0.00,+0.0049,+0.0333,-0.2453,+0.0274,0.0014,0.6000,0.0015,pid
18,0.00,+0.0192,-0.0371,+0.1594,-0.0242,0.0028,0.6000,0.0025,pid
19,0.00,-0.0133,+0.0446,-0.2484,+0.0308,0.0018,0.6000,0.0019,pid
20,0.00,+0.0208,-0.0036,-0.1187,+0.0033,0.0028,0.6000,0.0026,pid
21,0.00,+0.0042,+0.0182,-0.2141,+0.0152,0.0012,0.6000,0.0015,pid
22,0.00,+0.0116,+0.0064,-0.1797,+0.0082,0.0020,0.6000,0.0019,pid
23,0.00,+0.0078,+0.0066,-0.1578,+0.0069,0.0015,0.6000,0.0016,pid
24,0.00,+0.0061,-0.0274,+0.1375,-0.0205,0.0015,0.6000,0.0015,pid
25,0.00,-0.0112,+0.0285,-0.1297,+0.0187,0.0018,0.6000,0.0017,pid
26,0.00,+0.0136,+0.0299,-0.3187,+0.0276,0.0021,0.6000,0.0020,pid
27,0.00,+0.0189,-0.0393,+0.1297,-0.0259,0.0021,0.6000,0.0021,pid
28,0.00,-0.0139,-0.0075,+0.1609,-0.0112,0.0020,0.6000,0.0020,pid
29,0.00,-0.0059,+0.0429,-0.2344,+0.0321,0.0016,0.6000,0.0017,pid
30,0.00,+0.0215,-0.0029,-0.1156,+0.0041,0.0029,0.6000,0.0027,pid
31,0.00,+0.0054,-0.0160,+0.0719,-0.0120,0.0013,0.6000,0.0016,pid
32,0.00,-0.0062,+0.0396,-0.2656,+0.0293,0.0017,0.6000,0.0017,pid
33,0.00,+0.0203,-0.0578,+0.3156,-0.0403,0.0024,0.6000,0.0023,pid
34,0.00,-0.0194,+0.0394,-0.1047,+0.0234,0.0018,0.6000,0.0019,pid
35,0.00,+0.0167,+0.0096,-0.1344,+0.0124,0.0020,0.6000,0.0019,pid
36,0.00,+0.0096,+0.0284,-0.3094,+0.0252,0.0014,0.6000,0.0015,pid
37,0.00,+0.0186,-0.0019,-0.1734,+0.0035,0.0027,0.6000,0.0025,pid
38,0.00,+0.0049,+0.0097,-0.1797,+0.0084,0.0014,0.6000,0.0016,pid
39,0.00,+0.0070,+0.0176,-0.2500,+0.0158,0.0014,0.6000,0.0014,pid
40,0.00,+0.0120,-0.0114,-0.0547,-0.0060,0.0017,0.6000,0.0016,pid
41,0.00,-0.0019,+0.0137,-0.1344,+0.0098,0.0017,0.6000,0.0017,pid
42,0.00,+0.0080,+0.0216,-0.2531,+0.0193,0.0013,0.6000,0.0014,pid
43,0.00,+0.0137,-0.0461,+0.2281,-0.0330,0.0020,0.6000,0.0019,pid
44,0.00,-0.0168,+0.0389,-0.1562,+0.0245,0.0018,0.6000,0.0018,pid
45,0.00,+0.0165,+0.0054,-0.1328,+0.0092,0.0020,0.6000,0.0020,pid
46,0.00,+0.0070,+0.0026,-0.0938,+0.0039,0.0014,0.6000,0.0015,pid
47,0.00,+0.0046,+0.0076,-0.1094,+0.0069,0.0012,0.6000,0.0013,pid
48,0.00,+0.0064,-0.0049,-0.0156,-0.0025,0.0015,0.6000,0.0015,pid
49,0.00,+0.0001,+0.0060,-0.0437,+0.0043,0.0013,0.6000,0.0014,pid
50,0.00,+0.0047,+0.0204,-0.1828,+0.0172,0.0013,0.6000,0.0013,pid
51,0.00,+0.0133,-0.0309,+0.1500,-0.0213,0.0020,0.6000,0.0019,pid
52,0.00,-0.0116,+0.0051,+0.0703,-0.0002,0.0018,0.6000,0.0018,pid
53,0.00,+0.0020,+0.0058,+0.0109,+0.0046,0.0014,0.6000,0.0015,pid
54,0.00,+0.0051,-0.0039,+0.0516,-0.0022,0.0013,0.6000,0.0014,pid
55,0.00,+0.0000,+0.0176,-0.0984,+0.0136,0.0015,0.6000,0.0015,pid
56,0.00,+0.0097,+0.0035,-0.0797,+0.0055,0.0016,0.6000,0.0016,pid
57,0.00,+0.0054,+0.0288,-0.2766,+0.0242,0.0013,0.6000,0.0014,pid
58,0.00,+0.0174,-0.0237,+0.0297,-0.0142,0.0025,0.6000,0.0023,pid
59,0.00,-0.0069,+0.0466,-0.3516,+0.0344,0.0019,0.6000,0.0020,pid
60,0.00,+0.0233,-0.0198,-0.0531,-0.0089,0.0037,0.6000,0.0033,pid
61,0.00,-0.0037,-0.0024,+0.0016,-0.0037,0.0018,0.6000,0.0021,pid
62,0.00,-0.0002,+0.0068,-0.0391,+0.0047,0.0017,0.6000,0.0018,pid
63,0.00,+0.0054,+0.0249,-0.2172,+0.0209,0.0016,0.6000,0.0016,pid
64,0.00,+0.0145,+0.0054,-0.1734,+0.0085,0.0021,0.6000,0.0020,pid
65,0.00,+0.0081,+0.0146,-0.2203,+0.0134,0.0017,0.6000,0.0017,pid
66,0.00,+0.0111,-0.0014,-0.1187,+0.0016,0.0018,0.6000,0.0018,pid
67,0.00,+0.0028,+0.0064,-0.1156,+0.0054,0.0012,0.6000,0.0013,pid
68,0.00,+0.0061,+0.0091,-0.1359,+0.0083,0.0015,0.6000,0.0015,pid
69,0.00,+0.0069,+0.0157,-0.2047,+0.0142,0.0013,0.6000,0.0013,pid
70,0.00,+0.0096,-0.0157,+0.0109,-0.0097,0.0017,0.6000,0.0016,pid
71,0.00,-0.0050,+0.0048,-0.0156,+0.0019,0.0017,0.6000,0.0017,pid
72,0.00,+0.0034,+0.0268,-0.2172,+0.0218,0.0013,0.6000,0.0014,pid
73,0.00,+0.0150,-0.0173,+0.0156,-0.0095,0.0021,0.6000,0.0020,pid
74,0.00,-0.0038,+0.0250,-0.1812,+0.0181,0.0019,0.6000,0.0019,pid
75,0.00,+0.0127,-0.0024,-0.0844,+0.0017,0.0017,0.6000,0.0018,pid
76,0.00,+0.0030,+0.0168,-0.1797,+0.0138,0.0012,0.6000,0.0013,pid
77,0.00,+0.0096,-0.0139,+0.0125,-0.0084,0.0015,0.6000,0.0014,pid
78,0.00,-0.0037,+0.0484,-0.3781,+0.0370,0.0017,0.6000,0.0016,pid
79,0.00,+0.0253,-0.0226,-0.0469,-0.0107,0.0043,0.6000,0.0037,pid
80,0.00,-0.0047,+0.0176,-0.1609,+0.0119,0.0015,0.6000,0.0020,pid
81,0.00,+0.0095,+0.0058,-0.1391,+0.0070,0.0014,0.6000,0.0015,pid
82,0.00,+0.0064,+0.0158,-0.2078,+0.0141,0.0015,0.6000,0.0015,pid
83,0.00,+0.0104,-0.0009,-0.1141,+0.0021,0.0014,0.6000,0.0014,pid
84,0.00,+0.0038,-0.0077,+0.0047,-0.0057,0.0013,0.6000,0.0014,pid
85,0.00,-0.0017,+0.0286,-0.2188,+0.0218,0.0016,0.6000,0.0016,pid
86,0.00,+0.0168,-0.0082,-0.0609,-0.0022,0.0021,0.6000,0.0020,pid
87,0.00,+0.0010,+0.0125,-0.1281,+0.0096,0.0016,0.6000,0.0017,pid
88,0.00,+0.0076,+0.0058,-0.1172,+0.0066,0.0014,0.6000,0.0014,pid
89,0.00,+0.0064,-0.0167,+0.0766,-0.0121,0.0016,0.6000,0.0015,pid
90,0.00,-0.0058,+0.0284,-0.1688,+0.0203,0.0017,0.6000,0.0016,pid
91,0.00,+0.0151,-0.0108,-0.0063,-0.0045,0.0022,0.6000,0.0021,pid
92,0.00,-0.0010,+0.0161,-0.1219,+0.0120,0.0017,0.6000,0.0018,pid
93,0.00,+0.0110,+0.0155,-0.1938,+0.0148,0.0017,0.6000,0.0017,pid
94,0.00,+0.0111,+0.0075,-0.1750,+0.0090,0.0017,0.6000,0.0017,pid
95,0.00,+0.0068,-0.0019,-0.0844,+0.0003,0.0014,0.6000,0.0015,pid
96,0.00,+0.0026,+0.0056,-0.0859,+0.0045,0.0014,0.6000,0.0015,pid
97,0.00,+0.0053,+0.0158,-0.1719,+0.0135,0.0013,0.6000,0.0014,pid
98,0.00,+0.0097,+0.0001,-0.0984,+0.0028,0.0013,0.6000,0.0013,pid
99,0.00,+0.0042,-0.0064,+0.0047,-0.0046,0.0012,0.6000,0.0013,pid
100,0.00,-0.0011,-0.0068,+0.0750,-0.0063,0.0018,0.6000,0.0017,pid
101,0.00,-0.0027,+0.0391,-0.2594,+0.0300,0.0016,0.6000,0.0017,pid
102,0.00,+0.0214,-0.0039,-0.1234,+0.0029,0.0031,0.6000,0.0029,pid
103,0.00,+0.0039,+0.0073,-0.1266,+0.0064,0.0013,0.6000,0.0016,pid
104,0.00,+0.0064,+0.0003,-0.0703,+0.0015,0.0014,0.6000,0.0014,pid
105,0.00,+0.0034,-0.0044,+0.0063,-0.0032,0.0015,0.6000,0.0014,pid
106,0.00,-0.0002,-0.0040,+0.0531,-0.0038,0.0017,0.6000,0.0016,pid
107,0.00,-0.0003,+0.0366,-0.2531,+0.0285,0.0018,0.6000,0.0018,pid
108,0.00,+0.0194,-0.0160,-0.0187,-0.0071,0.0027,0.6000,0.0025,pid
109,0.00,-0.0027,+0.0275,-0.2250,+0.0206,0.0019,0.6000,0.0020,pid
110,0.00,+0.0145,-0.0079,-0.0672,-0.0022,0.0021,0.6000,0.0021,pid
111,0.00,+0.0006,-0.0108,+0.0609,-0.0091,0.0016,0.6000,0.0017,pid
112,0.00,-0.0038,+0.0060,+0.0063,+0.0030,0.0015,0.6000,0.0016,pid
113,0.00,+0.0038,+0.0029,-0.0047,+0.0029,0.0012,0.6000,0.0012,pid
114,0.00,+0.0042,+0.0095,-0.0656,+0.0082,0.0013,0.6000,0.0013,pid
115,0.00,+0.0067,+0.0309,-0.2844,+0.0263,0.0015,0.6000,0.0014,pid
116,0.00,+0.0178,-0.0185,-0.0187,-0.0095,0.0025,0.6000,0.0023,pid
117,0.00,-0.0040,+0.0181,-0.1469,+0.0126,0.0015,0.6000,0.0017,pid
118,0.00,+0.0113,+0.0097,-0.1625,+0.0103,0.0019,0.6000,0.0018,pid
119,0.00,+0.0082,+0.0014,-0.1031,+0.0032,0.0014,0.6000,0.0014,pid
120,0.00,+0.0040,-0.0044,-0.0156,-0.0029,0.0013,0.6000,0.0013,pid
121,0.00,+0.0007,+0.0193,-0.1547,+0.0149,0.0016,0.6000,0.0015,pid
122,0.00,+0.0112,-0.0150,+0.0375,-0.0090,0.0018,0.6000,0.0017,pid
123,0.00,-0.0038,+0.0288,-0.1984,+0.0213,0.0017,0.6000,0.0017,pid
124,0.00,+0.0165,+0.0291,-0.3578,+0.0275,0.0023,0.6000,0.0022,pid
125,0.00,+0.0205,-0.0144,-0.1016,-0.0060,0.0029,0.6000,0.0028,pid
126,0.00,-0.0024,-0.0056,-0.0047,-0.0057,0.0015,0.6000,0.0018,pid
127,0.00,-0.0017,+0.0254,-0.1984,+0.0192,0.0018,0.6000,0.0018,pid
128,0.00,+0.0133,+0.0053,-0.1594,+0.0080,0.0019,0.6000,0.0019,pid
129,0.00,+0.0074,-0.0040,-0.0563,-0.0016,0.0016,0.6000,0.0016,pid
130,0.00,+0.0006,+0.0033,-0.0484,+0.0023,0.0015,0.6000,0.0016,pid
131,0.00,+0.0039,+0.0433,-0.3766,+0.0351,0.0014,0.6000,0.0014,pid
132,0.00,+0.0245,-0.0094,-0.1562,-0.0005,0.0038,0.6000,0.0033,pid
133,0.00,+0.0017,+0.0133,-0.1984,+0.0106,0.0013,0.6000,0.0017,pid
134,0.00,+0.0090,-0.0037,-0.0844,-0.0009,0.0017,0.6000,0.0017,pid
135,0.00,+0.0017,+0.0281,-0.2734,+0.0223,0.0016,0.6000,0.0017,pid
136,0.00,+0.0154,-0.0073,-0.1047,-0.0014,0.0023,0.6000,0.0021,pid
137,0.00,+0.0011,+0.0161,-0.1875,+0.0126,0.0015,0.6000,0.0016,pid
138,0.00,+0.0092,+0.0009,-0.1156,+0.0032,0.0014,0.6000,0.0015,pid
139,0.00,+0.0042,-0.0031,-0.0344,-0.0019,0.0014,0.6000,0.0014,pid
140,0.00,+0.0002,+0.0248,-0.2125,+0.0194,0.0014,0.6000,0.0014,pid
141,0.00,+0.0135,-0.0169,+0.0156,-0.0096,0.0021,0.6000,0.0019,pid
142,0.00,-0.0049,+0.0280,-0.2062,+0.0205,0.0017,0.6000,0.0017,pid
143,0.00,+0.0143,-0.0219,+0.0609,-0.0135,0.0021,0.6000,0.0020,pid
144,0.00,-0.0066,+0.0419,-0.2922,+0.0309,0.0017,0.6000,0.0018,pid
145,0.00,+0.0209,-0.0165,-0.0406,-0.0070,0.0028,0.6000,0.0026,pid
146,0.00,-0.0023,+0.0111,-0.1031,+0.0075,0.0017,0.6000,0.0018,pid
147,0.00,+0.0064,-0.0031,-0.0266,-0.0010,0.0013,0.6000,0.0014,pid
148,0.00,+0.0016,+0.0209,-0.1750,+0.0165,0.0014,0.6000,0.0014,pid
149,0.00,+0.0127,-0.0024,-0.0797,+0.0014,0.0019,0.6000,0.0018,pid
150,3.93,-0.0004,+0.0281,-0.2703,+0.0227,0.0041,0.5595,0.0037,pid
151,5.60,+0.0039,+0.0089,-0.2375,+0.0116,0.0114,0.5356,0.0099,pid
152,8.21,+0.0003,+0.0072,-0.2016,+0.0081,0.0251,0.5075,0.0221,pid
153,9.77,-0.0010,-0.0006,-0.1125,+0.0011,0.0319,0.4888,0.0300,pid
154,11.56,-0.0049,+0.0256,-0.2719,+0.0207,0.0461,0.4707,0.0429,pid
155,13.06,-0.0006,+0.0043,-0.2000,+0.0075,0.0498,0.4555,0.0484,pid
156,14.65,-0.0050,-0.0067,-0.0609,-0.0038,0.0629,0.4406,0.0600,pid
157,17.70,-0.0126,+0.0296,-0.2703,+0.0229,0.0578,0.4161,0.0582,pid
158,20.30,+0.0048,+0.0197,-0.3281,+0.0204,0.0559,0.3938,0.0563,pid
159,23.26,+0.0090,-0.0567,+0.2656,-0.0412,0.0554,0.3708,0.0556,pid
160,25.81,-0.0263,+0.0221,+0.0047,+0.0095,0.0712,0.3510,0.0681,pid
161,28.00,+0.0051,-0.0113,+0.1078,-0.0072,0.0638,0.3345,0.0647,pid
162,30.01,-0.0041,+0.0097,+0.0016,+0.0063,0.0577,0.3201,0.0591,pid
163,31.90,+0.0035,-0.0126,+0.1141,-0.0088,0.0475,0.3072,0.0498,pid
164,33.64,-0.0042,+0.0046,+0.0453,+0.0019,0.0382,0.2956,0.0405,pid
165,35.31,+0.0002,+0.0072,-0.0219,+0.0062,0.0348,0.2849,0.0359,pid
166,36.85,+0.0016,-0.0096,+0.0719,-0.0064,0.0403,0.2751,0.0395,pid
167,38.23,-0.0045,+0.0203,-0.1125,+0.0150,0.0470,0.2666,0.0455,pid
168,39.42,+0.0065,+0.0328,-0.3344,+0.0293,0.0579,0.2593,0.0554,pid
169,40.22,+0.0163,-0.0191,-0.0484,-0.0094,0.0601,0.2541,0.0592,pid
170,40.91,-0.0081,+0.0626,-0.5375,+0.0482,0.0372,0.2499,0.0416,pid
171,41.63,+0.0292,-0.0513,+0.0844,-0.0314,0.0636,0.2458,0.0592,pid
172,42.37,-0.0224,+0.0122,-0.0297,+0.0035,0.0449,0.2416,0.0478,pid
173,42.84,+0.0007,+0.0069,-0.0609,+0.0062,0.0517,0.2387,0.0509,pid
174,43.46,+0.0030,+0.0001,-0.0250,+0.0013,0.0522,0.2354,0.0519,pid
175,43.82,+0.0006,+0.0412,-0.3438,+0.0333,0.0444,0.2331,0.0459,pid
176,44.26,+0.0241,-0.0562,+0.2516,-0.0383,0.0545,0.2307,0.0528,pid
177,44.75,-0.0239,+0.0306,-0.0734,+0.0168,0.0314,0.2281,0.0357,pid
178,45.01,+0.0111,+0.0231,-0.2250,+0.0219,0.0462,0.2265,0.0441,pid
179,45.38,+0.0138,+0.0241,-0.3344,+0.0237,0.0509,0.2245,0.0496,pid
180,45.45,+0.0166,-0.0184,-0.0531,-0.0100,0.0471,0.2238,0.0476,pid
181,45.91,-0.0055,-0.0026,+0.0031,-0.0041,0.0321,0.2218,0.0352,pid
182,46.17,-0.0002,+0.0143,-0.1000,+0.0106,0.0294,0.2203,0.0305,pid
183,46.40,+0.0084,+0.0109,-0.1406,+0.0108,0.0248,0.2190,0.0260,pid
184,46.59,+0.0090,+0.0369,-0.3844,+0.0317,0.0398,0.2179,0.0371,pid
185,43.12,+0.0229,+0.0174,-0.3844,+0.0202,0.0435,0.2327,0.0422,pid
186,46.05,+0.0142,+0.0174,-0.3844,+0.0179,0.0244,0.2229,0.0280,pid
187,39.85,+0.0122,+0.0174,-0.3844,+0.0175,0.0273,0.2485,0.0274,pid
188,27.10,+0.0111,+0.0174,-0.3844,+0.0174,0.0292,0.3191,0.0288,pid
189,12.35,-0.0024,+0.0174,-0.3844,+0.0174,0.0375,0.4306,0.0358,pid
190,10.07,-0.0023,+0.0174,-0.3844,+0.0174,0.0179,0.4710,0.0215,pid
191,7.86,-0.0013,+0.0174,-0.3844,+0.0174,0.0190,0.4977,0.0195,pid
192,3.08,+0.0020,+0.0174,-0.3844,+0.0174,0.0019,0.5474,0.0054,pid
193,5.32,-0.0009,+0.0174,-0.3844,+0.0174,0.0050,0.5357,0.0051,pid
194,4.74,-0.0006,+0.0174,-0.3844,+0.0174,0.0038,0.5388,0.0041,pid
195,2.10,-0.0007,+0.0174,-0.3844,+0.0174,0.0017,0.5654,0.0022,pid
196,3.00,+0.0003,+0.0174,-0.3844,+0.0174,0.0012,0.5617,0.0014,pid
197,2.00,+0.0010,+0.0174,-0.3844,+0.0174,0.0008,0.5710,0.0009,pid
198,0.35,+0.0046,+0.0174,-0.3844,+0.0174,0.0006,0.5904,0.0007,pid
199,1.29,-0.0026,+0.0174,-0.3844,+0.0174,0.0008,0.5842,0.0008,pid
200,0.04,+0.0075,+0.0174,-0.3844,+0.0174,0.0008,0.5964,0.0008,pid
201,0.04,+0.0067,+0.0174,-0.3844,+0.0174,0.0008,0.5988,0.0008,pid
202,0.02,+0.0079,+0.0174,-0.3844,+0.0174,0.0008,0.5995,0.0008,pid
203,0.05,+0.0063,+0.0174,-0.3844,+0.0174,0.0008,0.5993,0.0008,pid
204,0.00,+0.0069,+0.0174,-0.3844,+0.0174,0.0008,0.5998,0.0008,pid
205,0.14,+0.0052,+0.0174,-0.3844,+0.0174,0.0007,0.5984,0.0008,pid
206,0.18,+0.0053,+0.0174,-0.3844,+0.0174,0.0007,0.5978,0.0007,pid
207,0.02,+0.0068,+0.0174,-0.3844,+0.0174,0.0008,0.5993,0.0008,pid
208,0.02,+0.0073,+0.0174,-0.3844,+0.0174,0.0008,0.5997,0.0008,pid
209,0.03,+0.0070,+0.0174,-0.3844,+0.0174,0.0008,0.5996,0.0008,pid
210,1.38,-0.0024,+0.0174,-0.3844,+0.0174,0.0008,0.5851,0.0008,pid
211,1.45,-0.0017,+0.0174,-0.3844,+0.0174,0.0008,0.5815,0.0008,pid
212,1.55,-0.0017,+0.0174,-0.3844,+0.0174,0.0009,0.5797,0.0009,pid
213,1.44,-0.0025,+0.0174,-0.3844,+0.0174,0.0008,0.5804,0.0009,pid
214,1.43,-0.0021,+0.0174,-0.3844,+0.0174,0.0008,0.5807,0.0008,pid
215,1.42,-0.0014,+0.0174,-0.3844,+0.0174,0.0010,0.5809,0.0009,pid
216,1.38,-0.0018,+0.0174,-0.3844,+0.0174,0.0009,0.5814,0.0009,pid
217,0.17,+0.0052,+0.0174,-0.3844,+0.0174,0.0008,0.5944,0.0008,pid
218,0.13,+0.0056,+0.0174,-0.3844,+0.0174,0.0008,0.5975,0.0008,pid
219,0.21,+0.0047,+0.0174,-0.3844,+0.0174,0.0007,0.5972,0.0007,pid
220,0.23,+0.0044,+0.0174,-0.3844,+0.0174,0.0007,0.5969,0.0007,pid
221,0.28,+0.0042,+0.0174,-0.3844,+0.0174,0.0006,0.5963,0.0006,pid
222,0.43,+0.0029,+0.0174,-0.3844,+0.0174,0.0008,0.5945,0.0008,pid
223,0.54,+0.0019,+0.0174,-0.3844,+0.0174,0.0006,0.5930,0.0006,pid
224,0.75,+0.0015,+0.0174,-0.3844,+0.0174,0.0007,0.5904,0.0007,pid
225,0.05,+0.0062,+0.0174,-0.3844,+0.0174,0.0008,0.5975,0.0008,pid
226,0.00,+0.0065,+0.0174,-0.3844,+0.0174,0.0009,0.5995,0.0009,pid
227,0.06,+0.0072,+0.0174,-0.3844,+0.0174,0.0007,0.5993,0.0008,pid
228,0.28,+0.0040,+0.0174,-0.3844,+0.0174,0.0007,0.5968,0.0007,pid
229,0.09,+0.0092,-0.0117,-0.1422,-0.0059,0.0018,0.5984,0.0016,pid
230,0.02,-0.0031,-0.0011,-0.0688,-0.0021,0.0017,0.5995,0.0017,pid
231,0.03,-0.0001,-0.0155,+0.0984,-0.0128,0.0016,0.5996,0.0016,pid
