frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.01,-0.0028,-0.0014,0.0163,0.3000,0.0081
1,0.00,-0.0005,-0.0009,0.0031,0.4500,0.0056
2,0.00,+0.0023,+0.0007,0.0013,0.5250,0.0035
3,0.01,+0.0040,+0.0023,0.0009,0.5625,0.0022
4,0.01,+0.0050,+0.0037,0.0008,0.5812,0.0015
5,0.00,+0.0060,+0.0048,0.0007,0.5906,0.0011
6,0.00,+0.0066,+0.0057,0.0007,0.5953,0.0009
7,0.00,+0.0071,+0.0064,0.0007,0.5976,0.0008
8,0.00,+0.0071,+0.0067,0.0007,0.5988,0.0007
9,0.00,+0.0074,+0.0071,0.0007,0.5994,0.0007
10,0.00,+0.0075,+0.0073,0.0007,0.5997,0.0007
11,0.00,+0.0077,+0.0075,0.0007,0.5999,0.0007
12,0.00,+0.0076,+0.0076,0.0006,0.5999,0.0007
13,0.00,+0.0078,+0.0077,0.0006,0.6000,0.0007
14,0.00,+0.0078,+0.0078,0.0006,0.6000,0.0007
15,0.00,+0.0078,+0.0078,0.0007,0.6000,0.0007
16,0.00,+0.0080,+0.0079,0.0006,0.6000,0.0006
17,0.00,+0.0080,+0.0079,0.0006,0.6000,0.0006
18,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
19,0.00,+0.0080,+0.0079,0.0006,0.6000,0.0006
20,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
21,0.00,+0.0081,+0.0080,0.0007,0.6000,0.0007
22,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
23,0.00,+0.0078,+0.0079,0.0007,0.6000,0.0007
24,0.00,+0.0080,+0.0079,0.0006,0.6000,0.0006
25,0.00,+0.0077,+0.0078,0.0007,0.6000,0.0007
26,0.00,+0.0078,+0.0078,0.0006,0.6000,0.0006
27,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
28,0.00,+0.0078,+0.0078,0.0006,0.6000,0.0006
29,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
30,0.00,+0.0080,+0.0079,0.0007,0.6000,0.0007
31,0.00,+0.0081,+0.0080,0.0006,0.6000,0.0006
32,0.00,+0.0079,+0.0080,0.0006,0.6000,0.0006
33,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
34,0.00,+0.0080,+0.0079,0.0006,0.6000,0.0006
35,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0006
36,0.00,+0.0078,+0.0079,0.0006,0.6000,0.0006
37,0.00,+0.0081,+0.0080,0.0006,0.6000,0.0006
38,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
39,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
40,0.00,+0.0081,+0.0080,0.0006,0.6000,0.0006
41,0.00,+0.0081,+0.0080,0.0006,0.6000,0.0006
42,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0006
43,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
44,0.00,+0.0080,+0.0080,0.0006,0.6000,0.0006
45,0.00,+0.0079,+0.0079,0.0006,0.6000,0.0006
46,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
47,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
48,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
49,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
50,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
51,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
52,0.00,+0.0081,+0.0081,0.0007,0.6000,0.0007
53,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
54,0.00,+0.0081,+0.0080,0.0007,0.6000,0.0007
55,0.00,+0.0081,+0.0081,0.0006,0.6000,0.0007
56,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
57,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
58,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
59,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
60,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
61,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
62,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
63,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
64,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
65,0.00,+0.0080,+0.0080,0.0007,0.6000,0.0007
66,0.00,+0.0081,+0.0080,0.0007,0.6000,0.0007
67,0.00,+0.0079,+0.0080,0.0007,0.6000,0.0007
68,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
69,0.00,+0.0079,+0.0079,0.0007,0.6000,0.0007
70,0.00,+0.0080,+0.0079,0.0007,0.6000,0.0007
71,0.00,+0.0082,+0.0080,0.0007,0.6000,0.0007
72,0.00,+0.0078,+0.0079,0.0007,0.6000,0.0007
73,0.00,+0.0078,+0.0079,0.0007,0.6000,0.0007
74,14.46,+0.0002,+0.0040,0.0017,0.5512,0.0012
75,6.61,-0.0014,+0.0013,0.0004,0.5518,0.0008
76,11.56,-0.0030,-0.0009,0.0016,0.5360,0.0012
77,14.92,-0.0044,-0.0026,0.0025,0.5179,0.0018
78,19.41,-0.0046,-0.0036,0.0031,0.4959,0.0025
79,23.19,-0.0044,-0.0040,0.0040,0.4747,0.0032
80,27.89,-0.0034,-0.0037,0.0041,0.4519,0.0036
81,30.71,-0.0028,-0.0032,0.0043,0.4337,0.0040
82,35.13,-0.0008,-0.0020,0.0041,0.4142,0.0040
83,37.77,-0.0009,-0.0015,0.0045,0.3985,0.0043
84,40.32,-0.0012,-0.0013,0.0051,0.3851,0.0047
85,42.38,-0.0012,-0.0012,0.0055,0.3740,0.0051
86,44.42,-0.0013,-0.0012,0.0061,0.3642,0.0056
87,45.95,-0.0015,-0.0014,0.0063,0.3561,0.0060
88,47.47,-0.0009,-0.0011,0.0061,0.3490,0.0060
89,48.34,-0.0009,-0.0010,0.0059,0.3437,0.0059
90,49.45,-0.0004,-0.0007,0.0054,0.3389,0.0057
91,50.22,+0.0003,-0.0002,0.0063,0.3350,0.0060
92,50.76,-0.0006,-0.0004,0.0065,0.3320,0.0063
93,50.79,-0.0006,-0.0005,0.0069,0.3304,0.0066
94,50.85,+0.0002,-0.0001,0.0063,0.3295,0.0064
95,50.82,+0.0005,+0.0002,0.0066,0.3291,0.0065
96,50.83,+0.0007,+0.0004,0.0065,0.3289,0.0065
97,50.87,+0.0004,+0.0004,0.0071,0.3287,0.0068
98,50.75,-0.0000,+0.0002,0.0065,0.3289,0.0066
99,50.70,+0.0010,+0.0006,0.0065,0.3290,0.0066
100,50.95,+0.0006,+0.0006,0.0063,0.3286,0.0064
101,50.94,+0.0017,+0.0011,0.0056,0.3285,0.0060
102,50.85,+0.0021,+0.0016,0.0058,0.3285,0.0059
103,50.81,+0.0026,+0.0021,0.0056,0.3286,0.0057
104,50.73,+0.0021,+0.0021,0.0066,0.3289,0.0061
105,50.78,+0.0034,+0.0027,0.0057,0.3289,0.0059
106,50.87,+0.0039,+0.0033,0.0053,0.3287,0.0056
107,50.90,+0.0043,+0.0038,0.0065,0.3286,0.0061
108,50.86,+0.0015,+0.0026,0.0072,0.3286,0.0066
109,50.70,+0.0011,+0.0019,0.0074,0.3289,0.0070
110,50.65,+0.0021,+0.0020,0.0101,0.3291,0.0086
111,50.69,+0.0016,+0.0018,0.0095,0.3292,0.0090
112,50.84,+0.0018,+0.0018,0.0084,0.3289,0.0087
113,50.91,+0.0013,+0.0016,0.0087,0.3286,0.0087
114,51.00,+0.0023,+0.0019,0.0088,0.3284,0.0088
115,50.88,+0.0023,+0.0021,0.0095,0.3284,0.0092
116,50.00,+0.0017,+0.0019,0.0115,0.3302,0.0103
117,51.06,+0.0014,+0.0017,0.0151,0.3290,0.0127
118,48.96,+0.0013,+0.0015,0.0123,0.3325,0.0125
119,47.20,-0.0032,-0.0008,0.0084,0.3378,0.0105
120,44.44,+0.0048,+0.0020,0.0109,0.3460,0.0107
121,48.75,+0.0022,+0.0021,0.0139,0.3414,0.0123
122,33.78,+0.0053,+0.0037,0.0065,0.3712,0.0094
123,27.51,-0.0005,+0.0016,0.0077,0.4012,0.0086
124,15.82,-0.0035,-0.0010,0.0060,0.4478,0.0073
125,15.63,-0.0033,-0.0021,0.0050,0.4717,0.0061
126,13.76,-0.0049,-0.0035,0.0038,0.4892,0.0050
127,14.69,-0.0049,-0.0042,0.0035,0.4951,0.0043
128,14.46,-0.0042,-0.0042,0.0034,0.4988,0.0038
129,14.71,-0.0057,-0.0049,0.0034,0.4999,0.0036
130,14.99,-0.0060,-0.0055,0.0032,0.4996,0.0034
131,14.88,-0.0051,-0.0053,0.0031,0.4998,0.0033
132,16.23,-0.0052,-0.0052,0.0032,0.4959,0.0032
133,16.10,-0.0056,-0.0054,0.0033,0.4943,0.0033
134,16.15,-0.0053,-0.0053,0.0034,0.4934,0.0033
135,16.07,-0.0050,-0.0052,0.0034,0.4932,0.0034
136,0.03,+0.0003,-0.0025,0.0014,0.5465,0.0024
137,0.07,+0.0019,-0.0003,0.0008,0.5730,0.0016
138,0.03,+0.0044,+0.0020,0.0009,0.5864,0.0012
139,0.03,+0.0051,+0.0036,0.0008,0.5931,0.0010
140,0.00,+0.0058,+0.0047,0.0008,0.5965,0.0009
141,0.10,+0.0060,+0.0054,0.0008,0.5979,0.0009
142,0.07,+0.0061,+0.0057,0.0007,0.5987,0.0008
143,0.03,+0.0060,+0.0059,0.0007,0.5992,0.0008
144,0.07,+0.0062,+0.0060,0.0007,0.5994,0.0007
145,0.00,+0.0062,+0.0061,0.0007,0.5997,0.0007
146,0.04,+0.0062,+0.0061,0.0007,0.5997,0.0007
147,0.00,+0.0066,+0.0064,0.0007,0.5998,0.0007
148,18.67,-0.0013,+0.0025,0.0017,0.5389,0.0012
149,12.31,-0.0033,-0.0004,0.0025,0.5272,0.0019
150,12.05,-0.0041,-0.0022,0.0028,0.5222,0.0023
151,15.79,-0.0050,-0.0036,0.0029,0.5084,0.0026
152,20.37,-0.0046,-0.0041,0.0034,0.4885,0.0030
153,24.52,-0.0045,-0.0043,0.0041,0.4675,0.0036
154,29.24,-0.0037,-0.0040,0.0041,0.4450,0.0038
155,32.29,-0.0027,-0.0033,0.0045,0.4264,0.0042
156,35.64,-0.0012,-0.0023,0.0044,0.4094,0.0043
157,38.09,-0.0015,-0.0019,0.0049,0.3954,0.0046
158,40.58,-0.0019,-0.0019,0.0052,0.3830,0.0049
159,42.59,-0.0015,-0.0017,0.0050,0.3725,0.0049
160,44.56,-0.0017,-0.0017,0.0058,0.3631,0.0054
161,45.89,-0.0011,-0.0014,0.0060,0.3557,0.0057
162,47.36,-0.0017,-0.0016,0.0061,0.3491,0.0059
163,48.45,-0.0011,-0.0013,0.0057,0.3435,0.0058
164,49.78,-0.0002,-0.0008,0.0055,0.3382,0.0057
165,50.69,+0.0001,-0.0003,0.0063,0.3337,0.0060
