frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0007,+0.0017,-0.0406,+0.0014,0.0534,0.4800,0.0427,pid
1,0.00,+0.0037,+0.0022,-0.0437,+0.0020,0.0028,0.5760,0.0108,pid
2,0.02,+0.0036,+0.0020,-0.0437,+0.0020,0.0016,0.5950,0.0034,pid
3,0.02,+0.0037,+0.0023,-0.0453,+0.0022,0.0013,0.5988,0.0018,pid
4,0.02,+0.0032,+0.0013,-0.0375,+0.0015,0.0012,0.5996,0.0013,pid
5,0.00,+0.0036,+0.0033,-0.0484,+0.0030,0.0015,0.5999,0.0014,pid
6,0.00,+0.0044,+0.0027,-0.0500,+0.0028,0.0014,0.6000,0.0014,pid
7,0.00,+0.0040,+0.0008,-0.0344,+0.0012,0.0013,0.6000,0.0013,pid
8,0.00,+0.0027,+0.0025,-0.0375,+0.0023,0.0014,0.6000,0.0014,pid
9,0.00,+0.0031,+0.0033,-0.0453,+0.0031,0.0013,0.6000,0.0013,pid
10,0.00,+0.0045,-0.0035,+0.0063,-0.0022,0.0014,0.6000,0.0014,pid
11,0.00,+0.0001,-0.0015,+0.0234,-0.0017,0.0016,0.6000,0.0016,pid
12,0.00,+0.0001,+0.0006,+0.0172,+0.0001,0.0014,0.6000,0.0014,pid
13,0.00,+0.0016,+0.0004,+0.0141,+0.0004,0.0014,0.6000,0.0014,pid
14,0.00,+0.0019,-0.0016,+0.0281,-0.0012,0.0015,0.6000,0.0015,pid
15,19.53,-0.0092,+0.0031,-0.0016,+0.0023,0.0210,0.4357,0.0171,pid
16,9.20,-0.0033,+0.0007,-0.0016,+0.0010,0.0312,0.4792,0.0284,pid
17,12.68,-0.0073,+0.0007,-0.0016,+0.0008,0.0450,0.4601,0.0417,pid
18,16.59,-0.0053,-0.0099,+0.0859,-0.0078,0.0495,0.4277,0.0479,pid
19,21.41,-0.0129,-0.0031,+0.0859,-0.0040,0.0535,0.3890,0.0524,pid
20,24.91,-0.0060,-0.0033,+0.0859,-0.0034,0.0577,0.3599,0.0566,pid
21,27.96,-0.0034,-0.0034,+0.0859,-0.0034,0.0499,0.3365,0.0512,pid
22,30.81,-0.0039,-0.0046,+0.0938,-0.0043,0.0474,0.3162,0.0481,pid
23,33.19,-0.0036,-0.0085,+0.1297,-0.0077,0.0429,0.2997,0.0440,pid
24,35.07,-0.0057,-0.0057,+0.1281,-0.0061,0.0351,0.2869,0.0369,pid
25,36.67,-0.0044,-0.0103,+0.1625,-0.0094,0.0292,0.2765,0.0308,pid
26,38.31,-0.0049,-0.0111,+0.1891,-0.0108,0.0260,0.2665,0.0269,pid
27,39.77,-0.0069,-0.0095,+0.1906,-0.0098,0.0235,0.2576,0.0242,pid
28,40.92,-0.0069,-0.0123,+0.2125,-0.0118,0.0289,0.2505,0.0280,pid
29,42.01,-0.0077,-0.0165,+0.2625,-0.0156,0.0278,0.2442,0.0278,pid
30,42.91,-0.0107,-0.0129,+0.2656,-0.0134,0.0319,0.2389,0.0311,pid
31,43.80,-0.0086,-0.0124,+0.2641,-0.0126,0.0271,0.2339,0.0279,pid
32,44.39,-0.0075,-0.0133,+0.2703,-0.0132,0.0250,0.2303,0.0256,pid
33,45.03,-0.0099,-0.0094,+0.2422,-0.0102,0.0309,0.2268,0.0298,pid
34,45.60,-0.0078,-0.0254,+0.3563,-0.0223,0.0325,0.2237,0.0319,pid
35,46.11,-0.0142,+0.0029,+0.1969,-0.0022,0.0348,0.2209,0.0342,pid
36,46.41,-0.0023,-0.0067,+0.1703,-0.0058,0.0308,0.2191,0.0315,pid
37,46.91,-0.0033,-0.0032,+0.1234,-0.0037,0.0257,0.2165,0.0268,pid
38,47.24,-0.0019,-0.0051,+0.1078,-0.0048,0.0246,0.2147,0.0251,pid
39,47.61,-0.0048,-0.0159,+0.1875,-0.0137,0.0274,0.2128,0.0269,pid
40,47.88,-0.0099,+0.0070,+0.0500,+0.0029,0.0289,0.2112,0.0285,pid
41,48.35,+0.0002,-0.0053,+0.0609,-0.0037,0.0268,0.2090,0.0271,pid
42,48.41,-0.0037,+0.0033,-0.0031,+0.0019,0.0221,0.2083,0.0231,pid
43,48.49,-0.0001,-0.0017,-0.0047,-0.0010,0.0205,0.2078,0.0210,pid
44,48.87,-0.0026,+0.0053,-0.0625,+0.0040,0.0262,0.2062,0.0252,pid
45,48.96,-0.0009,+0.0021,-0.0734,+0.0025,0.0233,0.2055,0.0236,pid
46,49.31,-0.0022,-0.0040,-0.0297,-0.0027,0.0187,0.2039,0.0197,pid
