frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0008,+0.0148,-0.3531,+0.0119,0.0548,0.4800,0.0438,pid
1,0.00,+0.0112,+0.0155,-0.3531,+0.0148,0.0027,0.5760,0.0110,pid
2,0.02,+0.0105,+0.0150,-0.3438,+0.0150,0.0020,0.5950,0.0038,pid
3,0.02,+0.0103,+0.0150,-0.3375,+0.0150,0.0017,0.5988,0.0022,pid
4,0.01,+0.0112,+0.0144,-0.3281,+0.0145,0.0014,0.5996,0.0016,pid
5,0.00,+0.0116,+0.0151,-0.3281,+0.0150,0.0019,0.5999,0.0018,pid
6,12.94,+0.0010,+0.0170,-0.3438,+0.0166,0.0432,0.4823,0.0349,pid
7,8.63,+0.0007,-0.0396,+0.1156,-0.0284,0.0325,0.4934,0.0330,pid
8,12.73,-0.0143,-0.0008,+0.0969,-0.0063,0.0359,0.4626,0.0353,pid
9,17.71,-0.0113,-0.0000,+0.0766,-0.0013,0.0405,0.4204,0.0395,pid
10,21.29,-0.0094,+0.0550,-0.3906,+0.0437,0.0474,0.3884,0.0458,pid
11,25.14,+0.0249,-0.0146,-0.1219,-0.0030,0.0432,0.3584,0.0438,pid
12,27.86,-0.0036,-0.0025,-0.0437,-0.0026,0.0508,0.3368,0.0494,pid
13,30.13,-0.0032,+0.0037,-0.0437,+0.0025,0.0480,0.3199,0.0483,pid
14,32.45,-0.0004,-0.0392,+0.3094,-0.0309,0.0414,0.3043,0.0427,pid
15,34.33,-0.0188,+0.0055,+0.1688,-0.0017,0.0486,0.2915,0.0474,pid
16,36.03,-0.0021,-0.0022,+0.1375,-0.0021,0.0351,0.2805,0.0376,pid
17,37.88,-0.0010,-0.0008,+0.1031,-0.0011,0.0286,0.2693,0.0304,pid
18,39.07,-0.0019,+0.0027,+0.0500,+0.0020,0.0289,0.2614,0.0292,pid
19,40.47,+0.0002,-0.0016,+0.0500,-0.0009,0.0324,0.2533,0.0318,pid
20,41.59,-0.0010,-0.0372,+0.3406,-0.0299,0.0406,0.2466,0.0388,pid
21,42.32,-0.0185,+0.0338,-0.0563,+0.0210,0.0410,0.2420,0.0406,pid
22,43.13,+0.0111,+0.0054,-0.0828,+0.0085,0.0503,0.2375,0.0483,pid
23,43.67,+0.0033,+0.0105,-0.1406,+0.0101,0.0393,0.2342,0.0411,pid
24,44.20,+0.0038,-0.0529,+0.3438,-0.0403,0.0539,0.2312,0.0513,pid
25,44.65,-0.0295,+0.0210,+0.0500,+0.0087,0.0416,0.2287,0.0436,pid
26,45.00,+0.0035,-0.0026,+0.0500,-0.0004,0.0676,0.2266,0.0628,pid
27,45.24,-0.0023,-0.1180,+1.0000,-0.0945,0.0636,0.2252,0.0634,pid
28,45.40,-0.0312,-0.0056,+0.6969,-0.0234,0.0304,0.2242,0.0370,pid
29,45.62,-0.0169,-0.0663,+1.0000,-0.0577,0.0343,0.2231,0.0348,pid
30,46.21,-0.0271,-0.0420,+1.0000,-0.0451,0.0350,0.2203,0.0349,pid
31,46.45,-0.0330,-0.0420,+1.0000,-0.0426,0.0353,0.2188,0.0352,pid
32,46.56,-0.0306,+0.0746,+0.0281,+0.0512,0.0342,0.2180,0.0344,pid
33,46.91,+0.0342,+0.0102,-0.0813,+0.0184,0.0771,0.2164,0.0685,pid
34,46.94,+0.0097,+0.0176,-0.2125,+0.0177,0.0477,0.2159,0.0519,pid
35,46.75,+0.0095,-0.0211,+0.0219,-0.0133,0.0472,0.2166,0.0481,pid
36,46.90,-0.0103,+0.0175,-0.1406,+0.0113,0.0449,0.2161,0.0456,pid
37,47.01,+0.0052,-0.0140,+0.0125,-0.0089,0.0436,0.2156,0.0440,pid
38,47.22,-0.0077,+0.0040,-0.0344,+0.0014,0.0391,0.2146,0.0401,pid
39,47.30,+0.0005,+0.0001,-0.0328,+0.0004,0.0251,0.2140,0.0281,pid
40,47.45,+0.0000,+0.0007,-0.0359,+0.0006,0.0229,0.2133,0.0239,pid
41,47.96,-0.0021,-0.0027,-0.0094,-0.0021,0.0351,0.2110,0.0328,pid
42,47.90,-0.0036,-0.0105,+0.0719,-0.0088,0.0349,0.2108,0.0345,pid
43,48.14,-0.0064,-0.0030,+0.0625,-0.0042,0.0317,0.2098,0.0322,pid
44,48.38,-0.0035,-0.0081,+0.0969,-0.0073,0.0292,0.2086,0.0298,pid
45,48.43,-0.0059,+0.0078,-0.0125,+0.0048,0.0347,0.2081,0.0337,pid
46,48.74,+0.0027,-0.0213,+0.1547,-0.0161,0.0363,0.2068,0.0358,pid
