frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.01,-0.0007,-0.0003,0.0564,0.3000,0.0282
1,0.00,+0.0019,+0.0008,0.0114,0.4500,0.0198
2,0.00,+0.0022,+0.0015,0.0032,0.5250,0.0115
3,0.01,+0.0026,+0.0021,0.0020,0.5624,0.0067
4,0.01,+0.0043,+0.0032,0.0019,0.5812,0.0043
5,0.01,+0.0044,+0.0038,0.0014,0.5906,0.0029
6,0.01,+0.0050,+0.0044,0.0014,0.5952,0.0021
7,0.00,+0.0048,+0.0046,0.0014,0.5976,0.0018
8,0.00,+0.0051,+0.0049,0.0013,0.5988,0.0015
9,0.00,+0.0055,+0.0052,0.0014,0.5994,0.0015
10,0.00,+0.0061,+0.0056,0.0015,0.5997,0.0015
11,0.00,+0.0063,+0.0060,0.0015,0.5998,0.0015
12,0.00,+0.0070,+0.0065,0.0016,0.5999,0.0015
13,0.00,+0.0059,+0.0062,0.0014,0.6000,0.0014
14,0.00,+0.0063,+0.0062,0.0015,0.6000,0.0015
15,0.00,+0.0071,+0.0067,0.0016,0.6000,0.0015
16,0.00,+0.0065,+0.0066,0.0015,0.6000,0.0015
17,0.00,+0.0059,+0.0063,0.0014,0.6000,0.0015
18,0.00,+0.0069,+0.0066,0.0016,0.6000,0.0015
19,0.00,+0.0073,+0.0069,0.0016,0.6000,0.0015
20,0.00,+0.0062,+0.0066,0.0015,0.6000,0.0015
21,0.00,+0.0064,+0.0065,0.0015,0.6000,0.0015
22,0.00,+0.0062,+0.0063,0.0014,0.6000,0.0015
23,0.00,+0.0063,+0.0063,0.0014,0.6000,0.0014
24,0.00,+0.0067,+0.0065,0.0016,0.6000,0.0015
25,0.00,+0.0061,+0.0063,0.0014,0.6000,0.0014
26,0.00,+0.0069,+0.0066,0.0016,0.6000,0.0015
27,0.00,+0.0060,+0.0063,0.0014,0.6000,0.0015
28,0.00,+0.0061,+0.0062,0.0016,0.6000,0.0015
29,0.00,+0.0056,+0.0059,0.0013,0.6000,0.0014
30,0.00,+0.0069,+0.0064,0.0015,0.6000,0.0015
31,0.00,+0.0062,+0.0063,0.0014,0.6000,0.0014
32,0.00,+0.0059,+0.0061,0.0014,0.6000,0.0014
33,0.00,+0.0063,+0.0062,0.0014,0.6000,0.0014
34,0.00,+0.0065,+0.0063,0.0016,0.6000,0.0015
35,0.00,+0.0062,+0.0062,0.0014,0.6000,0.0014
36,0.00,+0.0069,+0.0066,0.0016,0.6000,0.0015
37,0.00,+0.0061,+0.0063,0.0014,0.6000,0.0015
38,0.00,+0.0071,+0.0067,0.0015,0.6000,0.0015
39,0.00,+0.0063,+0.0065,0.0014,0.6000,0.0015
40,0.00,+0.0062,+0.0064,0.0014,0.6000,0.0014
41,0.00,+0.0073,+0.0068,0.0016,0.6000,0.0015
42,0.00,+0.0066,+0.0067,0.0015,0.6000,0.0015
43,0.00,+0.0075,+0.0071,0.0016,0.6000,0.0016
44,0.00,+0.0062,+0.0067,0.0015,0.6000,0.0015
45,0.00,+0.0064,+0.0066,0.0014,0.6000,0.0014
46,0.00,+0.0062,+0.0064,0.0014,0.6000,0.0014
47,0.00,+0.0067,+0.0066,0.0016,0.6000,0.0015
48,0.00,+0.0062,+0.0064,0.0014,0.6000,0.0015
49,0.00,+0.0060,+0.0062,0.0014,0.6000,0.0014
50,0.00,+0.0059,+0.0061,0.0014,0.6000,0.0014
51,0.00,+0.0063,+0.0062,0.0015,0.6000,0.0014
52,0.00,+0.0062,+0.0062,0.0013,0.6000,0.0014
53,0.00,+0.0064,+0.0063,0.0014,0.6000,0.0014
54,0.00,+0.0064,+0.0063,0.0014,0.6000,0.0014
55,0.00,+0.0063,+0.0063,0.0014,0.6000,0.0014
56,0.00,+0.0060,+0.0062,0.0015,0.6000,0.0014
57,0.00,+0.0061,+0.0061,0.0013,0.6000,0.0014
58,0.00,+0.0067,+0.0064,0.0016,0.6000,0.0015
59,0.00,+0.0063,+0.0064,0.0014,0.6000,0.0015
60,0.00,+0.0060,+0.0062,0.0014,0.6000,0.0014
61,0.00,+0.0062,+0.0062,0.0015,0.6000,0.0015
62,0.00,+0.0069,+0.0066,0.0016,0.6000,0.0015
63,0.00,+0.0064,+0.0065,0.0014,0.6000,0.0014
64,0.00,+0.0062,+0.0063,0.0014,0.6000,0.0014
65,0.00,+0.0062,+0.0062,0.0014,0.6000,0.0014
66,0.00,+0.0060,+0.0061,0.0014,0.6000,0.0014
67,0.00,+0.0060,+0.0061,0.0013,0.6000,0.0014
68,0.00,+0.0061,+0.0061,0.0015,0.6000,0.0014
69,0.00,+0.0067,+0.0064,0.0015,0.6000,0.0015
70,0.00,+0.0072,+0.0068,0.0016,0.6000,0.0015
71,0.00,+0.0064,+0.0066,0.0014,0.6000,0.0015
72,0.00,+0.0072,+0.0069,0.0016,0.6000,0.0015
73,0.00,+0.0065,+0.0067,0.0014,0.6000,0.0015
74,0.00,+0.0063,+0.0065,0.0014,0.6000,0.0014
75,0.00,+0.0064,+0.0064,0.0014,0.6000,0.0014
76,0.00,+0.0060,+0.0062,0.0015,0.6000,0.0014
77,0.00,+0.0065,+0.0064,0.0016,0.6000,0.0015
78,0.00,+0.0061,+0.0062,0.0013,0.6000,0.0014
79,0.00,+0.0071,+0.0066,0.0015,0.6000,0.0015
80,0.00,+0.0062,+0.0064,0.0014,0.6000,0.0014
81,0.00,+0.0069,+0.0067,0.0015,0.6000,0.0015
82,0.00,+0.0061,+0.0064,0.0015,0.6000,0.0015
83,0.00,+0.0059,+0.0062,0.0014,0.6000,0.0014
84,0.00,+0.0070,+0.0066,0.0015,0.6000,0.0015
85,0.00,+0.0062,+0.0064,0.0014,0.6000,0.0014
86,0.00,+0.0065,+0.0064,0.0010,0.6000,0.0012
87,0.00,+0.0061,+0.0063,0.0010,0.6000,0.0011
88,0.00,+0.0051,+0.0057,0.0010,0.6000,0.0010
89,0.00,+0.0057,+0.0057,0.0009,0.6000,0.0010
90,0.00,+0.0048,+0.0052,0.0009,0.6000,0.0010
91,0.00,+0.0057,+0.0055,0.0010,0.6000,0.0010
92,0.00,+0.0050,+0.0052,0.0010,0.6000,0.0010
93,0.00,+0.0052,+0.0052,0.0010,0.6000,0.0010
94,0.00,+0.0055,+0.0053,0.0014,0.6000,0.0012
95,0.00,+0.0056,+0.0054,0.0014,0.6000,0.0013
96,0.00,+0.0055,+0.0055,0.0014,0.6000,0.0013
97,0.00,+0.0054,+0.0054,0.0014,0.6000,0.0014
98,0.00,+0.0057,+0.0056,0.0014,0.6000,0.0014
99,0.00,+0.0053,+0.0054,0.0014,0.6000,0.0014
100,0.00,+0.0058,+0.0056,0.0014,0.6000,0.0014
101,0.00,+0.0057,+0.0056,0.0014,0.6000,0.0014
102,0.00,+0.0059,+0.0058,0.0013,0.6000,0.0014
103,0.00,+0.0060,+0.0059,0.0014,0.6000,0.0014
104,0.00,+0.0056,+0.0058,0.0013,0.6000,0.0014
105,0.00,+0.0053,+0.0055,0.0013,0.6000,0.0013
106,0.00,+0.0050,+0.0052,0.0013,0.6000,0.0013
107,0.00,+0.0048,+0.0050,0.0012,0.6000,0.0013
108,0.00,+0.0050,+0.0050,0.0013,0.6000,0.0013
109,2.10,-0.0011,+0.0020,0.0020,0.5921,0.0016
110,16.67,-0.0036,-0.0008,0.0256,0.5408,0.0136
111,11.88,-0.0064,-0.0036,0.0255,0.5295,0.0196
112,15.22,-0.0071,-0.0054,0.0447,0.5137,0.0322
113,20.61,-0.0137,-0.0095,0.0324,0.4905,0.0323
114,26.56,-0.0095,-0.0095,0.0348,0.4632,0.0335
115,30.43,-0.0092,-0.0094,0.0307,0.4400,0.0321
116,34.13,-0.0086,-0.0090,0.0269,0.4196,0.0295
117,37.19,-0.0081,-0.0085,0.0231,0.4025,0.0263
118,40.07,-0.0078,-0.0082,0.0193,0.3876,0.0228
119,42.22,-0.0067,-0.0075,0.0170,0.3756,0.0199
120,44.76,-0.0064,-0.0069,0.0159,0.3643,0.0179
121,46.17,-0.0063,-0.0066,0.0178,0.3557,0.0179
122,47.86,-0.0057,-0.0062,0.0183,0.3481,0.0181
123,49.12,-0.0060,-0.0061,0.0202,0.3417,0.0192
124,50.38,-0.0039,-0.0050,0.0202,0.3361,0.0197
125,50.72,-0.0045,-0.0048,0.0221,0.3326,0.0209
126,50.54,-0.0047,-0.0047,0.0192,0.3312,0.0200
127,50.67,-0.0048,-0.0047,0.0194,0.3303,0.0197
128,50.62,-0.0040,-0.0044,0.0159,0.3299,0.0178
129,50.90,-0.0047,-0.0046,0.0163,0.3292,0.0171
130,50.77,-0.0048,-0.0047,0.0228,0.3290,0.0200
131,50.67,-0.0036,-0.0041,0.0185,0.3292,0.0192
132,50.59,-0.0035,-0.0038,0.0158,0.3294,0.0175
133,50.90,-0.0038,-0.0038,0.0169,0.3289,0.0172
134,51.55,-0.0048,-0.0043,0.0170,0.3274,0.0171
135,54.99,-0.0050,-0.0046,0.0199,0.3201,0.0185
136,56.74,-0.0056,-0.0051,0.0147,0.3133,0.0166
137,58.03,-0.0046,-0.0049,0.0112,0.3075,0.0139
138,59.58,-0.0059,-0.0054,0.0156,0.3018,0.0148
139,60.76,-0.0062,-0.0058,0.0141,0.2969,0.0145
140,62.02,-0.0046,-0.0052,0.0146,0.2922,0.0145
141,63.09,-0.0058,-0.0055,0.0195,0.2880,0.0170
142,64.13,-0.0050,-0.0053,0.0246,0.2841,0.0208
143,64.83,-0.0046,-0.0049,0.0204,0.2810,0.0206
144,65.75,-0.0036,-0.0042,0.0204,0.2778,0.0205
145,66.50,-0.0049,-0.0046,0.0172,0.2750,0.0189
146,67.23,-0.0042,-0.0044,0.0193,0.2723,0.0191
147,67.81,-0.0037,-0.0040,0.0191,0.2701,0.0191
148,68.54,-0.0048,-0.0044,0.0195,0.2677,0.0193
149,68.89,-0.0048,-0.0046,0.0201,0.2660,0.0197
150,69.40,-0.0046,-0.0046,0.0156,0.2642,0.0177
151,70.00,-0.0044,-0.0045,0.0184,0.2624,0.0180
